Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Suriname,,12/31/2019,Humid and overcast throughout the day.,rain,0.18,0.0018,0.0093,0.37,rain,85.73,67.41,70.88,0.84,1011.6,0.92,6,70.29,85.73,3.9193,-56.0278
Suriname,,1/1/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.21,0.0015,0.0064,0.24,rain,86.17,68.54,69.84,0.83,1011.8,0.82,6,67.41,86.17,3.9193,-56.0278
Suriname,,1/2/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0005,0.002,0.16,rain,88.04,69.4,67.81,0.76,1012.1,0.8,9,68.54,88.04,3.9193,-56.0278
Suriname,,1/3/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.27,0.0002,0.0005,0.08,rain,88.05,69.89,69.14,0.77,1013.6,0.38,10,69.4,88.05,3.9193,-56.0278
Suriname,,1/4/2020,Humid and mostly cloudy throughout the day.,partly-cloudy-day,0.31,0.0007,0.0017,0.18,rain,88.92,71.83,70.45,0.79,1013.8,0.69,7,69.89,88.92,3.9193,-56.0278
Suriname,,1/5/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.34,0.0002,0.0007,0.13,rain,90.3,71.34,69.4,0.73,1012.4,0.55,11,71.83,90.3,3.9193,-56.0278
Suriname,,1/6/2020,Humid and overcast throughout the day.,partly-cloudy-day,0.37,0.0007,0.0038,0.19,rain,89.16,71.64,70.77,0.78,1012.2,0.77,7,71.14,89.16,3.9193,-56.0278
Suriname,,1/7/2020,Humid and mostly cloudy throughout the day.,rain,0.4,0.0013,0.006999999999999999,0.3,rain,90.4,71.86,69.52,0.74,1012.6,0.66,8,71.64,90.4,3.9193,-56.0278
Suriname,,1/8/2020,"Possible light rain until morning, starting again in the evening.",rain,0.44,0.0145,0.0956,0.79,rain,89.3,71.01,73.6,0.87,1013.0,0.68,9,71.88,89.3,3.9193,-56.0278
Suriname,,1/9/2020,Humid and mostly cloudy throughout the day.,rain,0.47,0.0028,0.0126,0.57,rain,89.27,70.34,71.18,0.81,1013.1,0.7,7,71.01,89.27,3.9193,-56.0278
Suriname,,1/10/2020,Possible light rain in the evening.,rain,0.51,0.0089,0.0567,0.65,rain,85.14,67.46,72.15,0.89,1012.9,0.66,8,70.85,85.14,3.9193,-56.0278
Suriname,,1/11/2020,Humid and mostly cloudy throughout the day.,rain,0.54,0.0007,0.0031,0.26,rain,87.57,70.22,69.41,0.8,1012.8,0.6,6,67.46,87.57,3.9193,-56.0278
Suriname,,1/12/2020,Possible drizzle overnight.,rain,0.58,0.0038,0.0156,0.64,rain,82.66,70.44,72.12,0.88,1013.5,0.61,7,70.22,82.66,3.9193,-56.0278
Suriname,,1/13/2020,Light rain in the evening and overnight.,rain,0.62,0.0086,0.0394,0.85,rain,84.98,70.02,73.04,0.92,1012.8,0.79,7,70.55,84.98,3.9193,-56.0278
Suriname,,1/14/2020,Light rain and humid throughout the day.,rain,0.66,0.0157,0.03,0.96,rain,83.42,70.63,74.14,0.96,1012.0,0.82,7,70.02,83.42,3.9193,-56.0278
