Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Sweden,,12/31/2019,Windy in the morning and afternoon.,wind,0.21,0.0003,0.0013,0.23,rain,42.66,38.16,30.77,0.72,1004.3,1.0,0,34.82,42.66,63.0,16.0
Sweden,,1/1/2020,Dangerously windy and overcast throughout the day.,wind,0.24,0.0001,0.0008,0.13,rain,48.53,37.17,31.06,0.63,994.6,0.98,0,38.34,48.53,63.0,16.0
Sweden,,1/2/2020,Light rain in the morning.,rain,0.27,0.006,0.054000000000000006,0.71,rain,39.14,27.83,25.62,0.71,983.5,0.71,0,27.83,41.85,63.0,16.0
Sweden,,1/3/2020,Windy until evening.,wind,0.3,0.0002,0.0006,0.1,snow,34.18,22.68,19.76,0.63,993.7,0.3,0,27.72,34.18,63.0,16.0
Sweden,,1/4/2020,Foggy in the afternoon.,partly-cloudy-day,0.33,0.0019,0.0124,0.17,snow,32.79,28.26,20.51,0.75,1012.6,0.68,0,22.56,33.32,63.0,16.0
Sweden,,1/5/2020,Overcast throughout the day.,partly-cloudy-day,0.36,0.0001,0.0007,0.09,rain,36.39,30.26,27.85,0.83,1007.3,0.87,0,28.26,36.39,63.0,16.0
Sweden,,1/6/2020,Windy overnight.,wind,0.4,0.0004,0.0117,0.19,rain,35.5,33.84,29.35,0.83,1000.8,0.82,0,30.44,36.8,63.0,16.0
Sweden,,1/7/2020,Possible drizzle in the morning.,rain,0.43,0.0019,0.0092,0.45,rain,39.09,31.81,29.92,0.78,988.4,0.58,0,32.17,39.89,63.0,16.0
Sweden,,1/8/2020,Windy in the morning.,wind,0.47,0.0002,0.0023,0.08,snow,33.21,20.38,22.09,0.69,1001.2,0.45,0,26.24,34.18,63.0,16.0
Sweden,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0003,0.05,snow,25.46,19.15,15.57,0.72,1011.6,0.31,0,20.09,26.94,63.0,16.0
Sweden,,1/10/2020,Windy until evening.,wind,0.54,0.0015,0.0147,0.17,snow,38.83,31.99,22.86,0.71,1000.6,0.83,0,19.6,38.86,63.0,16.0
Sweden,,1/11/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.57,0.0002,0.0009,0.23,rain,34.71,25.98,26.26,0.8,993.7,0.67,0,27.04,38.46,63.0,16.0
Sweden,,1/12/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.61,0.0003,0.0046,0.08,snow,32.79,25.12,20.04,0.7,999.2,0.74,0,25.98,32.79,63.0,16.0
Sweden,,1/13/2020,Possible light snow (< 1 in.) in the afternoon.,snow,0.65,0.0032,0.025,0.48,snow,35.42,26.75,26.91,0.84,990.7,0.73,0,25.12,35.42,63.0,16.0
Sweden,,1/14/2020,Possible light snow (< 1 in.) in the morning.,snow,0.69,0.0038,0.0129,0.45,snow,37.0,25.14,27.14,0.84,986.9,0.64,0,26.75,37.0,63.0,16.0
Sweden,,1/15/2020,Clear throughout the day.,clear-day,0.72,0.0001,0.0002,0.09,snow,33.88,28.92,25.16,0.84,1000.6,0.14,0,24.54,34.08,63.0,16.0
Sweden,,1/16/2020,Overcast throughout the day.,partly-cloudy-day,0.76,0.0004,0.0026,0.18,snow,37.9,31.98,29.01,0.83,1008.2,0.83,0,28.92,37.9,63.0,16.0
Sweden,,1/17/2020,Possible light rain in the morning and afternoon.,rain,0.8,0.0053,0.0168,0.61,rain,34.94,24.39,31.27,0.93,1002.7,0.99,0,26.89,36.04,63.0,16.0
Sweden,,1/18/2020,Windy in the morning and afternoon.,wind,0.83,0.0003,0.0027,0.19,snow,39.18,30.56,26.96,0.79,1017.4,0.79,0,24.39,39.18,63.0,16.0
Sweden,,1/19/2020,Possible drizzle in the evening.,rain,0.87,0.0016,0.008,0.5,rain,48.15,33.63,33.71,0.77,1016.2,0.98,0,30.72,48.22,63.0,16.0
Sweden,,1/20/2020,Dangerously windy and partly cloudy throughout the day.,rain,0.9,0.0003,0.0027,0.27,rain,38.21,30.64,25.07,0.65,1009.6,0.54,0,31.86,44.38,63.0,16.0
Sweden,,1/21/2020,Windy in the morning.,wind,0.93,0.0006,0.0038,0.15,snow,36.7,29.5,24.19,0.7,1016.0,0.42,0,30.64,36.7,63.0,16.0
Sweden,,1/22/2020,Foggy in the morning and overnight.,snow,0.97,0.0034,0.0145,0.45,snow,40.28,30.07,27.64,0.76,1009.2,0.94,0,29.5,40.28,63.0,16.0
Sweden,,1/23/2020,Windy overnight.,wind,1.0,0.0008,0.0071,0.23,snow,36.66,27.93,24.38,0.72,999.7,0.64,0,29.48,36.66,63.0,16.0
Sweden,,1/24/2020,Foggy in the evening.,snow,0.03,0.0018,0.0091,0.28,snow,31.77,29.11,22.01,0.72,1001.8,0.91,0,27.89,34.21,63.0,16.0
Sweden,,1/25/2020,Foggy in the evening and overnight.,rain,0.06,0.0022,0.0117,0.31,rain,41.47,26.96,29.54,0.8,1001.3,1.0,0,26.96,41.47,63.0,16.0
Sweden,,1/26/2020,Possible light snow (1–3 in.) starting in the afternoon.,snow,0.09,0.013999999999999999,0.0248,0.77,snow,35.92,32.3,28.42,0.88,1001.6,1.0,0,27.15,35.92,63.0,16.0
Sweden,,1/27/2020,Possible drizzle in the morning.,snow,0.12,0.0052,0.0282,0.62,snow,33.82,27.9,29.64,0.9,995.4,1.0,0,29.05,34.58,63.0,16.0
Sweden,,1/28/2020,Possible light snow (2–4 in.) in the evening and overnight.,snow,0.15,0.0145,0.0202,0.59,snow,31.43,30.38,26.17,0.86,995.8,1.0,0,27.11,33.07,63.0,16.0
Sweden,,1/29/2020,Possible light snow (1–2 in.) in the morning and afternoon.,snow,0.18,0.0101,0.0228,0.7,snow,33.65,29.62,28.0,0.87,995.8,0.99,0,29.86,33.65,63.0,16.0
Sweden,,1/30/2020,Foggy until evening.,snow,0.21,0.008,0.0313,0.42,snow,33.59,30.98,26.86,0.84,991.7,0.99,0,29.2,33.61,63.0,16.0
Sweden,,1/31/2020,Possible drizzle in the morning and afternoon.,rain,0.24,0.0011,0.006,0.5,rain,38.07,28.34,29.48,0.85,979.4,0.99,0,31.24,38.07,63.0,16.0
Sweden,,2/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.27,0.0001,0.0014,0.19,snow,38.0,22.0,25.66,0.77,981.6,0.52,0,28.34,38.0,63.0,16.0
Sweden,,2/2/2020,Clear throughout the day.,clear-day,0.31,0.0001,0.0003,0.08,snow,28.38,11.41,17.43,0.79,998.7,0.04,0,14.74,30.25,63.0,16.0
Sweden,,2/3/2020,Foggy in the afternoon.,partly-cloudy-day,0.34,0.0012,0.0053,0.22,snow,25.04,18.48,13.38,0.82,1005.6,0.83,0,11.41,26.2,63.0,16.0
Sweden,,2/4/2020,Possible drizzle in the afternoon and evening.,snow,0.37,0.0027,0.0088,0.63,snow,39.41,20.66,25.41,0.76,1006.7,0.85,0,25.16,39.41,63.0,16.0
