Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Switzerland,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.1,rain,41.29,28.36,19.62,0.55,1032.5,0.12,1,31.68,41.29,46.8182,8.2275
Switzerland,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.2,rain,39.62,29.9,22.0,0.65,1031.3,0.07,1,28.36,39.62,46.8182,8.2275
Switzerland,,1/2/2020,Possible drizzle overnight.,rain,0.27,0.0017,0.0154,0.31,rain,41.48,29.9,27.35,0.72,1028.4,0.88,1,30.82,41.48,46.8182,8.2275
Switzerland,,1/3/2020,Possible drizzle in the morning.,rain,0.3,0.0034,0.0117,0.61,rain,36.96,23.5,30.9,0.97,1032.4,0.94,1,27.83,36.96,46.8182,8.2275
Switzerland,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0003,0.14,snow,36.13,29.03,21.54,0.72,1034.3,0.17,1,23.5,36.13,46.8182,8.2275
Switzerland,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,41.15,27.54,22.44,0.62,1029.7,0.08,1,30.07,41.15,46.8182,8.2275
Switzerland,,1/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.4,0.0001,0.0006,0.15,rain,37.76,30.38,24.17,0.72,1030.2,0.4,1,27.54,37.76,46.8182,8.2275
Switzerland,,1/7/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.43,0.0023,0.0113,0.14,rain,44.81,36.35,17.8,0.48,1030.6,0.71,1,30.38,44.81,46.8182,8.2275
Switzerland,,1/8/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.47,0.0,0.0004,0.02,,47.25,30.78,26.5,0.59,1023.6,0.82,1,36.33,47.25,46.8182,8.2275
Switzerland,,1/9/2020,Possible light snow (< 1 in.) in the evening.,rain,0.5,0.0018,0.0093,0.41,rain,39.38,26.16,26.04,0.78,1024.6,0.51,1,28.3,39.38,46.8182,8.2275
Switzerland,,1/10/2020,Clear throughout the day.,partly-cloudy-day,0.54,0.0003,0.0009,0.16,rain,37.66,29.27,23.53,0.76,1032.1,0.5,1,26.16,37.66,46.8182,8.2275
Switzerland,,1/11/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.57,0.0001,0.0003,0.11,rain,41.56,30.63,15.28,0.47,1028.8,0.44,1,29.27,41.56,46.8182,8.2275
Switzerland,,1/12/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.61,0.0,0.0002,0.04,,41.15,30.33,15.07,0.46,1022.5,0.36,1,30.63,41.15,46.8182,8.2275
Switzerland,,1/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.65,0.0,0.0,0.0,,43.05,33.91,18.05,0.49,1018.9,0.57,1,30.33,43.05,46.8182,8.2275
Switzerland,,1/14/2020,Clear throughout the day.,clear-day,0.69,0.0,0.0001,0.02,,45.97,31.72,24.99,0.63,1021.4,0.29,1,32.31,45.97,46.8182,8.2275
Switzerland,,1/15/2020,Clear throughout the day.,clear-day,0.72,0.0,0.0002,0.06,,44.08,30.24,27.21,0.72,1027.0,0.16,1,30.6,44.08,46.8182,8.2275
Switzerland,,1/16/2020,Snow (2–5 in.) in the evening and overnight.,rain,0.76,0.0051,0.0588,0.48,rain,41.26,24.5,24.61,0.71,1024.1,0.41,1,29.0,41.26,46.8182,8.2275
Switzerland,,1/17/2020,Snow (< 1 in.) in the morning.,snow,0.8,0.0147,0.0758,0.78,snow,28.05,18.49,24.41,0.95,1029.0,0.76,1,21.61,29.3,46.8182,8.2275
Switzerland,,1/18/2020,Foggy in the afternoon and evening.,snow,0.83,0.0021,0.0048,0.5,snow,26.02,17.63,17.89,0.88,1034.0,0.89,1,18.49,26.02,46.8182,8.2275
Switzerland,,1/19/2020,Clear throughout the day.,clear-day,0.87,0.0001,0.0004,0.06,snow,31.88,21.98,7.72,0.51,1040.4,0.31,1,17.63,31.88,46.8182,8.2275
Switzerland,,1/20/2020,Clear throughout the day.,partly-cloudy-day,0.9,0.0001,0.0002,0.05,snow,39.96,31.57,17.07,0.55,1038.8,0.34,1,24.42,39.96,46.8182,8.2275
Switzerland,,1/21/2020,Clear throughout the day.,partly-cloudy-day,0.93,0.0,0.0001,0.01,,44.81,31.91,16.05,0.45,1032.6,0.32,1,31.57,44.81,46.8182,8.2275
Switzerland,,1/22/2020,Clear throughout the day.,clear-day,0.97,0.0001,0.0002,0.04,rain,42.51,31.39,15.7,0.44,1028.2,0.14,1,31.91,42.51,46.8182,8.2275
Switzerland,,1/23/2020,Clear throughout the day.,clear-day,1.0,0.0001,0.0002,0.04,rain,43.82,28.72,20.6,0.55,1024.8,0.31,1,31.39,43.82,46.8182,8.2275
Switzerland,,1/24/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.03,0.0001,0.0003,0.07,rain,40.31,28.42,27.01,0.8,1022.4,0.67,1,28.72,40.31,46.8182,8.2275
Switzerland,,1/25/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.06,0.0004,0.0022,0.21,rain,40.52,27.53,27.84,0.83,1020.9,0.68,1,28.42,40.52,46.8182,8.2275
Switzerland,,1/26/2020,Mostly cloudy throughout the day.,rain,0.09,0.0017,0.0155,0.31,rain,42.78,30.98,27.64,0.79,1016.6,0.89,1,27.53,42.78,46.8182,8.2275
Switzerland,,1/27/2020,Snow (8–12 in.) throughout the day.,snow,0.12,0.0363,0.0728,0.74,snow,37.34,25.7,26.73,0.86,1008.3,0.99,1,25.7,37.34,46.8182,8.2275
Switzerland,,1/28/2020,Snow (8–12 in.) until evening.,snow,0.15,0.0574,0.1045,0.86,snow,32.3,27.04,27.01,0.96,1015.3,0.98,1,24.58,32.3,46.8182,8.2275
Switzerland,,1/29/2020,Light rain in the evening and overnight.,rain,0.18,0.0123,0.0663,0.6,rain,42.09,36.19,26.85,0.74,1018.7,0.9,1,27.04,42.09,46.8182,8.2275
Switzerland,,1/30/2020,Possible drizzle in the morning.,rain,0.21,0.0054,0.0497,0.69,rain,43.89,33.76,37.76,0.98,1018.3,0.82,2,36.19,43.89,46.8182,8.2275
Switzerland,,1/31/2020,Possible light rain starting in the afternoon.,rain,0.24,0.0048,0.017,0.69,rain,42.89,34.45,34.26,0.9,1016.5,0.53,2,33.76,42.89,46.8182,8.2275
Switzerland,,2/1/2020,Rain throughout the day.,rain,0.27,0.0457,0.1122,0.94,rain,41.04,38.74,37.14,0.96,1019.8,0.99,2,34.45,41.72,46.8182,8.2275
Switzerland,,2/2/2020,Light rain in the morning and afternoon.,rain,0.31,0.0268,0.0825,0.95,rain,43.43,26.1,37.73,0.89,1020.4,0.99,2,37.9,44.8,46.8182,8.2275
Switzerland,,2/3/2020,Heavy snow (15–24 in.) throughout the day.,snow,0.34,0.0693,0.111,0.88,snow,29.11,21.44,25.87,0.91,1017.5,0.98,1,21.44,45.11,46.8182,8.2275
