Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Taiwan,,12/31/2019,Clear throughout the day.,partly-cloudy-day,0.2,0.0001,0.0009,0.12,rain,66.93,46.31,48.31,0.8,1025.1,0.38,7,48.14,66.93,23.7,121.0
Taiwan,,1/1/2020,Clear throughout the day.,clear-day,0.23,0.0001,0.0003,0.04,rain,67.92,46.62,38.94,0.57,1024.1,0.0,7,46.31,67.92,23.7,121.0
Taiwan,,1/2/2020,Clear throughout the day.,clear-day,0.26,0.0,0.0001,0.01,,69.27,46.36,41.13,0.62,1022.1,0.01,7,46.62,69.27,23.7,121.0
Taiwan,,1/3/2020,Overcast throughout the day.,partly-cloudy-day,0.29,0.0002,0.0004,0.09,rain,69.18,49.64,44.49,0.7,1020.4,0.72,5,46.36,69.18,23.7,121.0
Taiwan,,1/4/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.32,0.0001,0.0004,0.08,rain,71.32,52.52,46.29,0.68,1020.8,0.87,6,49.64,71.32,23.7,121.0
Taiwan,,1/5/2020,Overcast throughout the day.,partly-cloudy-day,0.35,0.0,0.0002,0.03,,72.47,53.32,47.23,0.66,1020.2,0.83,5,53.61,72.47,23.7,121.0
Taiwan,,1/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.39,0.0001,0.0003,0.08,rain,68.37,48.73,42.99,0.57,1018.1,0.39,6,52.81,68.37,23.7,121.0
Taiwan,,1/7/2020,Clear throughout the day.,clear-day,0.42,0.0,0.0001,0.02,,73.94,49.23,36.49,0.49,1019.4,0.14,7,48.73,73.94,23.7,121.0
Taiwan,,1/8/2020,Clear throughout the day.,clear-day,0.45,0.0,0.0001,0.03,,69.41,45.17,42.49,0.63,1019.0,0.18,6,47.82,69.41,23.7,121.0
Taiwan,,1/9/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.49,0.0001,0.0002,0.04,rain,69.83,48.1,46.49,0.75,1016.9,0.55,5,45.17,69.83,23.7,121.0
Taiwan,,1/10/2020,Clear throughout the day.,clear-day,0.53,0.0001,0.0005,0.06,rain,68.79,46.66,44.6,0.68,1015.1,0.16,7,48.1,68.79,23.7,121.0
Taiwan,,1/11/2020,Clear throughout the day.,clear-day,0.56,0.0002,0.0011,0.1,rain,67.14,45.28,44.43,0.71,1015.6,0.14,7,46.66,67.14,23.7,121.0
