Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Tanzania,,12/31/2019,Mostly cloudy throughout the day.,rain,0.21,0.0093,0.0352,0.72,rain,82.49,64.17,65.83,0.81,1009.5,0.75,7,62.9,82.49,-6.369,34.8888
Tanzania,,1/1/2020,Overcast throughout the day.,rain,0.24,0.0016,0.0225,0.31,rain,85.19,65.14,63.27,0.7,1010.0,0.91,7,64.17,85.19,-6.369,34.8888
Tanzania,,1/2/2020,Overcast throughout the day.,cloudy,0.27,0.0003,0.0013,0.09,rain,85.63,64.23,62.78,0.66,1011.1,0.96,6,65.14,85.63,-6.369,34.8888
Tanzania,,1/3/2020,Mostly cloudy throughout the day.,rain,0.3,0.0015,0.011000000000000001,0.26,rain,84.51,65.02,63.36,0.7,1010.9,0.77,12,64.23,84.51,-6.369,34.8888
Tanzania,,1/4/2020,Mostly cloudy throughout the day.,rain,0.33,0.0023,0.0155,0.35,rain,85.66,64.59,62.75,0.66,1009.8,0.83,6,64.62,85.66,-6.369,34.8888
Tanzania,,1/5/2020,Rain in the evening and overnight.,rain,0.36,0.0132,0.0312,0.67,rain,84.42,64.93,64.87,0.74,1010.5,0.87,6,64.59,84.42,-6.369,34.8888
Tanzania,,1/6/2020,Possible light rain in the morning.,rain,0.39,0.0212,0.1222,0.72,rain,82.14,64.31,66.03,0.82,1011.9,0.57,11,64.93,82.14,-6.369,34.8888
Tanzania,,1/7/2020,Partly cloudy throughout the day.,rain,0.43,0.0029,0.0176,0.38,rain,82.01,65.52,65.08,0.77,1011.7,0.48,11,64.31,82.01,-6.369,34.8888
Tanzania,,1/8/2020,"Rain until morning, starting again in the evening.",rain,0.46,0.0189,0.15,0.76,rain,81.09,62.82,67.41,0.85,1011.2,0.85,7,65.52,81.09,-6.369,34.8888
Tanzania,,1/9/2020,Rain throughout the day.,rain,0.5,0.0706,0.1914,0.96,rain,73.67,63.92,66.75,0.95,1011.7,0.89,9,62.82,73.67,-6.369,34.8888
