Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Thailand,,12/31/2019,Mostly cloudy throughout the day.,partly-cloudy-day,0.2,0.0001,0.0002,0.05,rain,92.61,72.47,67.82,0.63,1016.8,0.71,6,74.02,92.61,15.0,101.0
Thailand,,1/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.23,0.0001,0.0003,0.06,rain,93.42,70.12,67.58,0.64,1017.3,0.4,9,72.47,93.42,15.0,101.0
Thailand,,1/2/2020,Clear throughout the day.,clear-day,0.26,0.0,0.0,0.0,,96.5,69.39,65.02,0.6,1015.2,0.08,8,70.12,96.5,15.0,101.0
Thailand,,1/3/2020,Clear throughout the day.,clear-day,0.29,0.0002,0.0004,0.09,rain,95.89,67.38,65.62,0.61,1013.2,0.23,9,69.39,95.89,15.0,101.0
Thailand,,1/4/2020,Clear throughout the day.,clear-day,0.32,0.0001,0.0003,0.06,rain,95.98,66.96,63.86,0.59,1013.0,0.07,9,67.38,95.98,15.0,101.0
Thailand,,1/5/2020,Clear throughout the day.,clear-day,0.35,0.0,0.0002,0.02,,97.04,68.08,63.29,0.58,1013.0,0.01,9,66.96,97.04,15.0,101.0
Thailand,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0002,0.05,rain,98.75,66.26,60.79,0.52,1012.2,0.18,9,68.12,98.75,15.0,101.0
Thailand,,1/7/2020,Partly cloudy throughout the day.,clear-day,0.42,0.0,0.0002,0.02,,98.21,69.61,61.66,0.52,1012.0,0.28,6,66.26,98.21,15.0,101.0
Thailand,,1/8/2020,Clear throughout the day.,clear-day,0.46,0.0,0.0001,0.03,,98.73,70.04,64.46,0.55,1011.3,0.14,9,69.37,98.73,15.0,101.0
Thailand,,1/9/2020,Clear throughout the day.,clear-day,0.49,0.0001,0.0004,0.03,rain,100.14,74.61,63.63,0.54,1010.0,0.09,8,70.04,100.14,15.0,101.0
Thailand,,1/10/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.53,0.0002,0.001,0.1,rain,99.49,72.68,67.5,0.58,1009.9,0.78,6,74.61,99.49,15.0,101.0
Thailand,,1/11/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.57,0.0014,0.0081,0.13,rain,98.71,71.11,66.66,0.6,1009.9,0.72,7,72.7,98.71,15.0,101.0
Thailand,,1/12/2020,Humid throughout the day.,partly-cloudy-day,0.6,0.0009,0.0045,0.1,rain,97.14,72.8,66.36,0.6,1010.1,0.39,7,71.11,97.14,15.0,101.0
