Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
The Gambia,,1/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0003,0.02,rain,89.8,70.26,41.66,0.26,1012.5,0.59,6,72.65,89.8,13.4667,-16.6
The Gambia,,1/2/2020,Overcast throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.04,rain,87.99,71.48,42.34,0.28,1013.0,0.68,5,70.26,87.99,13.4667,-16.6
The Gambia,,1/3/2020,Overcast throughout the day.,cloudy,0.27,0.0001,0.0004,0.03,rain,88.44,70.08,42.72,0.27,1013.6,0.92,5,71.48,88.44,13.4667,-16.6
The Gambia,,1/4/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.3,0.0002,0.0004,0.07,rain,87.2,67.97,40.5,0.26,1014.3,0.53,7,70.08,87.2,13.4667,-16.6
The Gambia,,1/5/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0002,0.04,rain,86.43,67.09,38.88,0.26,1013.2,0.1,8,67.97,86.43,13.4667,-16.6
The Gambia,,1/6/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,86.12,65.47,38.36,0.26,1013.0,0.18,8,67.09,86.12,13.4667,-16.6
The Gambia,,1/7/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.4,0.0001,0.0002,0.01,rain,84.21,63.49,39.44,0.29,1013.0,0.82,5,65.47,84.21,13.4667,-16.6
The Gambia,,1/8/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.43,0.0,0.0002,0.01,,85.64,65.83,38.82,0.28,1013.3,0.54,7,63.49,85.64,13.4667,-16.6
The Gambia,,1/9/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.47,0.0,0.0,0.0,,86.29,66.69,35.04,0.23,1014.3,0.7,6,65.83,86.29,13.4667,-16.6
The Gambia,,1/10/2020,Partly cloudy throughout the day.,clear-day,0.5,0.0001,0.0004,0.02,rain,87.18,67.74,35.2,0.23,1014.6,0.3,8,66.67,87.18,13.4667,-16.6
The Gambia,,1/11/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.54,0.0001,0.0003,0.03,rain,87.12,69.97,40.7,0.28,1014.1,0.68,7,67.74,87.12,13.4667,-16.6
The Gambia,,1/12/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.58,0.0001,0.0003,0.05,rain,88.34,70.4,43.81,0.3,1013.7,0.49,7,69.97,88.34,13.4667,-16.6
The Gambia,,1/13/2020,Clear throughout the day.,clear-day,0.61,0.0001,0.0004,0.03,rain,88.56,68.26,41.93,0.27,1012.4,0.01,9,70.4,88.56,13.4667,-16.6
The Gambia,,1/14/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.65,0.0,0.0,0.0,,87.97,68.19,43.92,0.31,1011.3,0.34,9,68.26,87.97,13.4667,-16.6
The Gambia,,1/15/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.69,0.0,0.0001,0.02,,87.76,69.02,40.92,0.27,1012.9,0.66,7,68.19,87.76,13.4667,-16.6
The Gambia,,1/16/2020,Clear throughout the day.,clear-day,0.72,0.0,0.0002,0.04,,88.34,69.56,38.7,0.24,1013.4,0.26,9,68.97,88.34,13.4667,-16.6
The Gambia,,1/17/2020,Clear throughout the day.,clear-day,0.76,0.0001,0.0004,0.06,rain,90.03,69.57,37.96,0.23,1014.0,0.16,10,69.56,90.03,13.4667,-16.6
The Gambia,,1/18/2020,Clear throughout the day.,clear-day,0.8,0.0,0.0002,0.02,,90.76,70.42,41.07,0.26,1013.0,0.21,9,69.57,90.76,13.4667,-16.6
The Gambia,,1/19/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.83,0.0,0.0002,0.01,,89.89,68.36,46.64,0.33,1011.9,0.47,7,70.42,89.89,13.4667,-16.6
The Gambia,,1/20/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.87,0.0,0.0002,0.02,,85.5,69.38,53.26,0.46,1010.0,0.57,7,68.36,85.5,13.4667,-16.6
The Gambia,,1/21/2020,Overcast throughout the day.,cloudy,0.9,0.0001,0.0002,0.04,rain,86.44,70.84,54.68,0.48,1011.1,0.95,5,69.38,86.44,13.4667,-16.6
The Gambia,,1/22/2020,Overcast throughout the day.,cloudy,0.93,0.0004,0.0035,0.05,rain,88.98,75.06,55.21,0.46,1012.3,0.99,5,70.84,88.98,13.4667,-16.6
The Gambia,,1/23/2020,Overcast throughout the day.,cloudy,0.97,0.0002,0.0009,0.09,rain,85.93,75.84,57.32,0.46,1012.7,0.98,5,75.06,85.93,13.4667,-16.6
The Gambia,,1/24/2020,Mostly cloudy throughout the day.,partly-cloudy-day,1.0,0.0,0.0002,0.04,,91.75,76.51,58.88,0.45,1011.6,0.74,8,75.84,91.75,13.4667,-16.6
The Gambia,,1/25/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.03,0.0001,0.0003,0.03,rain,91.93,73.91,57.1,0.42,1012.0,0.72,8,76.51,91.93,13.4667,-16.6
The Gambia,,1/26/2020,Overcast throughout the day.,cloudy,0.06,0.0001,0.0004,0.03,rain,92.61,74.96,52.69,0.39,1013.1,0.98,5,73.91,92.61,13.4667,-16.6
The Gambia,,1/27/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.09,0.0001,0.0004,0.04,rain,92.21,71.64,47.74,0.3,1011.3,0.69,7,74.96,92.21,13.4667,-16.6
The Gambia,,1/28/2020,Overcast throughout the day.,partly-cloudy-day,0.12,0.0001,0.0002,0.03,rain,88.57,69.89,52.05,0.4,1011.2,0.57,5,71.64,88.57,13.4667,-16.6
The Gambia,,1/29/2020,Clear throughout the day.,clear-day,0.15,0.0001,0.0003,0.07,rain,88.86,71.02,59.97,0.56,1012.0,0.31,9,69.89,88.86,13.4667,-16.6
The Gambia,,1/30/2020,Clear throughout the day.,clear-day,0.18,0.0001,0.0003,0.05,rain,92.57,74.41,50.53,0.39,1013.2,0.22,9,71.02,92.57,13.4667,-16.6
The Gambia,,1/31/2020,Clear throughout the day.,clear-day,0.21,0.0001,0.0003,0.05,rain,95.65,74.35,44.36,0.25,1012.8,0.0,10,74.41,95.65,13.4667,-16.6
