Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Togo,,1/1/2020,Clear throughout the day.,clear-day,0.21,0.0001,0.0003,0.04,rain,93.11,64.06,23.08,0.14,1011.3,0.1,10,65.11,93.11,8.6195,0.8248
Togo,,1/2/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0004,0.05,rain,90.14,58.92,21.31,0.13,1012.7,0.1,10,64.06,90.14,8.6195,0.8248
Togo,,1/3/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0005,0.03,rain,88.78,60.01,17.96,0.13,1013.6,0.0,11,58.92,88.78,8.6195,0.8248
Togo,,1/4/2020,Clear throughout the day.,clear-day,0.3,0.0002,0.0003,0.06,rain,91.86,61.57,28.08,0.18,1013.2,0.06,10,60.01,91.86,8.6195,0.8248
Togo,,1/5/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0002,0.04,rain,94.69,65.04,36.95,0.24,1011.5,0.24,10,61.57,94.69,8.6195,0.8248
Togo,,1/6/2020,Clear throughout the day.,partly-cloudy-day,0.36,0.0,0.0,0.0,,94.33,66.95,46.78,0.34,1010.3,0.36,9,65.04,94.33,8.6195,0.8248
Togo,,1/7/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.05,rain,94.05,70.71,48.52,0.35,1010.4,0.1,10,66.95,94.05,8.6195,0.8248
Togo,,1/8/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.03,,95.87,70.41,46.64,0.3,1011.5,0.22,10,70.71,95.87,8.6195,0.8248
Togo,,1/9/2020,Clear throughout the day.,clear-day,0.47,0.0,0.0001,0.01,,97.64,68.13,44.78,0.28,1011.2,0.21,9,70.41,97.64,8.6195,0.8248
Togo,,1/10/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.5,0.0001,0.0004,0.04,rain,97.82,72.52,51.57,0.35,1011.4,0.65,8,68.13,97.82,8.6195,0.8248
Togo,,1/11/2020,Partly cloudy throughout the day.,rain,0.54,0.0031,0.0224,0.35,rain,92.41,69.39,67.2,0.64,1012.0,0.5,9,72.52,92.41,8.6195,0.8248
Togo,,1/12/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.58,0.0013,0.0087,0.17,rain,93.19,72.55,65.54,0.61,1011.4,0.63,7,69.39,93.19,8.6195,0.8248
Togo,,1/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.61,0.0002,0.0009,0.1,rain,97.9,70.2,57.01,0.43,1009.9,0.44,8,72.55,97.9,8.6195,0.8248
Togo,,1/14/2020,Clear throughout the day.,clear-day,0.65,0.0,0.0,0.0,,94.13,66.9,40.59,0.27,1009.8,0.08,11,70.2,94.13,8.6195,0.8248
Togo,,1/15/2020,Clear throughout the day.,clear-day,0.69,0.0,0.0001,0.01,,97.97,67.46,34.38,0.2,1010.0,0.01,11,66.9,97.97,8.6195,0.8248
Togo,,1/16/2020,Clear throughout the day.,clear-day,0.72,0.0,0.0002,0.03,,97.93,66.97,37.98,0.22,1011.4,0.01,11,68.42,97.93,8.6195,0.8248
Togo,,1/17/2020,Clear throughout the day.,clear-day,0.76,0.0001,0.0004,0.05,rain,95.72,64.46,37.06,0.22,1012.2,0.01,12,66.97,95.72,8.6195,0.8248
Togo,,1/18/2020,Clear throughout the day.,clear-day,0.8,0.0,0.0002,0.03,,94.61,65.17,37.16,0.23,1012.7,0.03,11,64.46,94.61,8.6195,0.8248
Togo,,1/19/2020,Clear throughout the day.,clear-day,0.83,0.0,0.0002,0.01,,93.69,65.99,38.18,0.25,1011.5,0.15,9,65.17,93.69,8.6195,0.8248
Togo,,1/20/2020,Clear throughout the day.,clear-day,0.87,0.0,0.0002,0.02,,95.02,67.68,43.95,0.29,1010.5,0.16,10,65.99,95.02,8.6195,0.8248
Togo,,1/21/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.9,0.0001,0.0002,0.05,rain,96.82,69.37,49.22,0.33,1011.1,0.43,9,67.68,96.82,8.6195,0.8248
Togo,,1/22/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.93,0.0,0.0001,0.02,,96.82,68.09,47.44,0.31,1011.0,0.45,8,69.37,96.82,8.6195,0.8248
Togo,,1/23/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.97,0.0001,0.0002,0.03,rain,95.56,66.09,34.39,0.2,1011.2,0.44,9,68.09,95.56,8.6195,0.8248
Togo,,1/24/2020,Clear throughout the day.,clear-day,1.0,0.0001,0.0002,0.02,rain,94.06,66.35,20.13,0.12,1011.9,0.28,10,66.09,94.06,8.6195,0.8248
Togo,,1/25/2020,Clear throughout the day.,clear-day,0.03,0.0001,0.0003,0.03,rain,94.41,63.05,9.01,0.07,1012.1,0.11,11,66.35,94.41,8.6195,0.8248
Togo,,1/26/2020,Partly cloudy throughout the day.,clear-day,0.06,0.0001,0.0004,0.03,rain,95.08,60.87,9.38,0.07,1012.0,0.27,8,63.05,95.08,8.6195,0.8248
Togo,,1/27/2020,Clear throughout the day.,clear-day,0.09,0.0001,0.0004,0.05,rain,95.09,63.89,22.09,0.13,1011.5,0.2,10,60.87,95.09,8.6195,0.8248
Togo,,1/28/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.12,0.0001,0.0002,0.03,rain,95.25,67.73,26.99,0.15,1011.5,0.48,9,63.89,95.25,8.6195,0.8248
Togo,,1/29/2020,Clear throughout the day.,partly-cloudy-day,0.15,0.0001,0.0003,0.05,rain,98.38,64.81,24.92,0.14,1011.1,0.38,11,67.73,98.38,8.6195,0.8248
Togo,,1/30/2020,Partly cloudy throughout the day.,clear-day,0.18,0.0001,0.0003,0.02,rain,97.87,63.26,3.3,0.05,1012.3,0.26,10,64.81,97.87,8.6195,0.8248
Togo,,1/31/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0003,0.05,rain,96.9,64.54,9.1,0.07,1012.5,0.48,7,63.26,96.9,8.6195,0.8248
Togo,,2/1/2020,Partly cloudy throughout the day.,clear-day,0.24,0.0001,0.0003,0.04,rain,96.04,65.95,16.67,0.1,1012.0,0.25,8,64.54,96.04,8.6195,0.8248
Togo,,2/2/2020,Clear throughout the day.,partly-cloudy-day,0.28,0.0,0.0002,0.03,,95.56,64.2,11.76,0.08,1012.3,0.33,11,65.95,95.56,8.6195,0.8248
Togo,,2/3/2020,Clear throughout the day.,clear-day,0.31,0.0001,0.0003,0.04,rain,96.2,60.01,8.48,0.07,1012.3,0.03,11,64.2,96.2,8.6195,0.8248
Togo,,2/4/2020,Clear throughout the day.,clear-day,0.34,0.0001,0.0003,0.05,rain,96.47,61.82,13.36,0.09,1012.5,0.16,12,60.01,96.47,8.6195,0.8248
Togo,,2/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.37,0.0001,0.0003,0.03,rain,95.18,64.11,21.61,0.12,1011.6,0.43,9,61.82,95.18,8.6195,0.8248
Togo,,2/6/2020,Clear throughout the day.,clear-day,0.41,0.0,0.0003,0.01,,95.74,66.74,22.84,0.13,1011.1,0.16,11,64.11,95.74,8.6195,0.8248
Togo,,2/7/2020,Clear throughout the day.,clear-day,0.45,0.0001,0.0003,0.02,rain,96.93,67.67,23.69,0.12,1011.3,0.04,12,66.74,96.93,8.6195,0.8248
Togo,,2/8/2020,Partly cloudy throughout the day.,clear-day,0.48,0.0001,0.0003,0.03,rain,98.78,67.49,23.07,0.11,1010.7,0.3,11,67.67,98.78,8.6195,0.8248
