Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Trinidad and Tobago,,12/31/2019,Partly cloudy throughout the day.,partly-cloudy-day,0.19,0.0002,0.0007,0.12,rain,84.62,71.01,69.33,0.79,1013.0,0.55,8,71.0,84.62,10.6918,-61.2225
Trinidad and Tobago,,1/1/2020,Overcast throughout the day.,partly-cloudy-day,0.22,0.0004,0.0015,0.14,rain,84.2,71.18,67.23,0.74,1013.6,0.75,5,71.0,84.2,10.6918,-61.2225
Trinidad and Tobago,,1/2/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.25,0.001,0.0057,0.24,rain,84.32,70.13,69.04,0.8,1013.9,0.5,7,71.18,84.32,10.6918,-61.2225
Trinidad and Tobago,,1/3/2020,Humid and partly cloudy throughout the day.,rain,0.28,0.002,0.0072,0.48,rain,83.65,68.03,68.92,0.82,1015.3,0.31,9,69.62,83.65,10.6918,-61.2225
Trinidad and Tobago,,1/4/2020,Partly cloudy throughout the day.,clear-day,0.31,0.0004,0.002,0.15,rain,83.63,68.74,68.14,0.81,1015.6,0.31,8,68.03,83.63,10.6918,-61.2225
Trinidad and Tobago,,1/5/2020,Possible drizzle in the morning.,rain,0.34,0.0058,0.0314,0.55,rain,83.44,68.51,69.61,0.85,1013.9,0.27,9,68.74,83.44,10.6918,-61.2225
Trinidad and Tobago,,1/6/2020,Humid and partly cloudy throughout the day.,rain,0.37,0.0052,0.0247,0.42,rain,81.93,69.69,70.87,0.91,1013.0,0.42,7,68.51,81.93,10.6918,-61.2225
Trinidad and Tobago,,1/7/2020,Humid and partly cloudy throughout the day.,rain,0.4,0.0022,0.0137,0.25,rain,83.47,70.6,69.17,0.83,1014.5,0.42,8,69.68,83.47,10.6918,-61.2225
Trinidad and Tobago,,1/8/2020,Humid and partly cloudy throughout the day.,rain,0.44,0.0013,0.0036,0.28,rain,82.44,70.22,70.26,0.84,1015.5,0.38,8,70.6,82.44,10.6918,-61.2225
Trinidad and Tobago,,1/9/2020,"Possible light rain until afternoon, starting again overnight.",rain,0.47,0.0072,0.0248,0.64,rain,80.45,69.92,70.12,0.88,1015.5,0.51,8,70.22,80.45,10.6918,-61.2225
Trinidad and Tobago,,1/10/2020,Partly cloudy throughout the day.,rain,0.51,0.0083,0.0201,0.63,rain,80.46,69.79,69.52,0.86,1015.1,0.37,5,70.0,80.46,10.6918,-61.2225
Trinidad and Tobago,,1/11/2020,Clear throughout the day.,rain,0.55,0.0018,0.0056,0.32,rain,82.77,69.1,69.46,0.85,1015.4,0.29,10,69.79,82.77,10.6918,-61.2225
Trinidad and Tobago,,1/12/2020,Clear throughout the day.,rain,0.58,0.0042,0.0102,0.55,rain,81.8,69.5,69.17,0.86,1015.9,0.06,9,69.1,81.8,10.6918,-61.2225
Trinidad and Tobago,,1/13/2020,Possible drizzle in the morning.,rain,0.62,0.0056,0.0118,0.66,rain,79.44,69.69,69.84,0.89,1014.9,0.42,8,69.5,79.44,10.6918,-61.2225
Trinidad and Tobago,,1/14/2020,Possible drizzle starting in the afternoon.,rain,0.66,0.0048,0.0148,0.74,rain,80.84,70.4,70.55,0.89,1013.7,0.48,8,69.69,80.84,10.6918,-61.2225
Trinidad and Tobago,,1/15/2020,Light rain and humid throughout the day.,rain,0.69,0.008,0.0233,0.9,rain,77.2,71.38,72.62,0.96,1013.2,0.64,7,70.4,77.2,10.6918,-61.2225
Trinidad and Tobago,,1/16/2020,Possible drizzle in the morning.,rain,0.73,0.004,0.0087,0.71,rain,83.11,71.59,71.84,0.87,1014.6,0.72,6,71.38,83.11,10.6918,-61.2225
Trinidad and Tobago,,1/17/2020,Humid and partly cloudy throughout the day.,rain,0.77,0.0026,0.0101,0.38,rain,81.9,70.76,72.18,0.89,1015.0,0.44,8,71.59,81.9,10.6918,-61.2225
Trinidad and Tobago,,1/18/2020,Humid and partly cloudy throughout the day.,rain,0.8,0.0029,0.0066,0.46,rain,82.66,70.45,71.84,0.89,1015.2,0.46,8,70.76,82.66,10.6918,-61.2225
Trinidad and Tobago,,1/19/2020,Possible light rain in the morning and afternoon.,rain,0.84,0.0102,0.0186,0.81,rain,79.25,70.61,72.14,0.94,1014.6,0.68,7,70.45,79.25,10.6918,-61.2225
Trinidad and Tobago,,1/20/2020,Humid and mostly cloudy throughout the day.,rain,0.87,0.0037,0.0081,0.49,rain,81.62,69.76,71.77,0.9,1014.0,0.67,7,70.61,81.62,10.6918,-61.2225
Trinidad and Tobago,,1/21/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.91,0.0006,0.0023,0.18,rain,83.94,68.9,68.84,0.81,1013.3,0.66,7,69.76,83.94,10.6918,-61.2225
Trinidad and Tobago,,1/22/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.94,0.0001,0.0005,0.05,rain,84.08,67.87,67.43,0.79,1012.5,0.66,7,68.9,84.08,10.6918,-61.2225
