Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Tunisia,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.05,rain,62.39,39.65,33.57,0.57,1031.8,0.07,3,38.59,62.39,34.0,9.0
Tunisia,,1/1/2020,Clear throughout the day.,clear-day,0.24,0.0001,0.0003,0.05,rain,64.2,37.68,34.66,0.57,1032.9,0.03,3,39.65,64.2,34.0,9.0
Tunisia,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0001,0.0003,0.02,rain,63.49,36.84,31.75,0.54,1031.6,0.0,3,37.68,63.49,34.0,9.0
Tunisia,,1/3/2020,Clear throughout the day.,clear-day,0.3,0.0002,0.0003,0.07,rain,63.51,38.59,28.26,0.48,1029.3,0.0,3,36.84,63.51,34.0,9.0
Tunisia,,1/4/2020,Clear throughout the day.,clear-day,0.33,0.0001,0.0002,0.04,rain,63.97,43.74,37.69,0.6,1027.3,0.19,3,38.59,63.97,34.0,9.0
Tunisia,,1/5/2020,Clear throughout the day.,clear-day,0.36,0.0,0.0,0.0,,66.83,41.92,39.84,0.62,1027.3,0.16,3,43.74,66.83,34.0,9.0
Tunisia,,1/6/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.09,rain,64.41,40.99,38.53,0.63,1028.9,0.02,3,41.92,64.41,34.0,9.0
Tunisia,,1/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.43,0.0001,0.0005,0.06,rain,63.27,48.18,38.24,0.63,1027.2,0.41,2,40.99,63.27,34.0,9.0
Tunisia,,1/8/2020,Clear throughout the day.,partly-cloudy-day,0.47,0.0004,0.002,0.2,rain,65.56,45.8,39.22,0.58,1026.4,0.37,3,48.18,65.56,34.0,9.0
Tunisia,,1/9/2020,Partly cloudy throughout the day.,rain,0.5,0.0011,0.0052,0.5,rain,64.54,50.03,46.38,0.78,1023.5,0.35,2,45.81,64.54,34.0,9.0
Tunisia,,1/10/2020,Overcast throughout the day.,partly-cloudy-day,0.54,0.0001,0.0047,0.18,rain,60.4,46.89,44.1,0.69,1021.9,0.82,2,49.21,60.4,34.0,9.0
Tunisia,,1/11/2020,Overcast throughout the day.,rain,0.57,0.0008,0.0069,0.51,rain,62.42,46.37,43.1,0.69,1023.0,0.85,2,46.89,62.42,34.0,9.0
Tunisia,,1/12/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.61,0.0001,0.0007,0.22,rain,62.9,45.72,41.72,0.63,1022.7,0.54,2,47.82,62.9,34.0,9.0
Tunisia,,1/13/2020,Clear throughout the day.,clear-day,0.65,0.0,0.0,0.0,,66.5,44.46,41.6,0.63,1025.8,0.15,3,45.72,66.5,34.0,9.0
Tunisia,,1/14/2020,Clear throughout the day.,clear-day,0.69,0.0,0.0001,0.02,,65.7,41.48,40.33,0.64,1027.7,0.0,3,44.46,65.7,34.0,9.0
Tunisia,,1/15/2020,Clear throughout the day.,clear-day,0.72,0.0,0.0002,0.03,,66.58,41.69,38.4,0.62,1029.1,0.12,3,41.48,66.58,34.0,9.0
Tunisia,,1/16/2020,Clear throughout the day.,partly-cloudy-day,0.76,0.0001,0.0004,0.06,rain,65.73,42.2,36.67,0.59,1029.9,0.44,3,41.69,65.73,34.0,9.0
Tunisia,,1/17/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.8,0.0,0.0002,0.02,,66.86,44.54,36.72,0.57,1030.2,0.38,3,42.2,66.86,34.0,9.0
Tunisia,,1/18/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.83,0.0,0.0001,0.01,,64.81,49.08,35.7,0.54,1022.5,0.81,2,44.54,64.81,34.0,9.0
Tunisia,,1/19/2020,Clear throughout the day.,partly-cloudy-day,0.87,0.0002,0.0035,0.04,rain,68.18,51.58,38.09,0.51,1019.7,0.35,3,49.08,68.18,34.0,9.0
Tunisia,,1/20/2020,Partly cloudy throughout the day.,clear-day,0.9,0.0001,0.0002,0.03,rain,70.12,51.01,37.34,0.45,1023.0,0.27,3,51.58,70.12,34.0,9.0
Tunisia,,1/21/2020,Clear throughout the day.,clear-day,0.93,0.0,0.0001,0.03,,68.46,51.72,43.82,0.59,1025.3,0.12,4,51.01,68.46,34.0,9.0
Tunisia,,1/22/2020,Partly cloudy throughout the day.,clear-day,0.97,0.0001,0.0002,0.04,rain,70.56,50.48,42.25,0.58,1023.4,0.21,3,51.72,70.56,34.0,9.0
Tunisia,,1/23/2020,Clear throughout the day.,clear-day,1.0,0.0001,0.0002,0.06,rain,72.8,47.71,44.5,0.6,1023.1,0.27,4,50.48,72.8,34.0,9.0
Tunisia,,1/24/2020,Overcast throughout the day.,partly-cloudy-day,0.03,0.0001,0.0003,0.03,rain,73.47,48.07,36.77,0.48,1022.7,0.85,3,47.71,73.47,34.0,9.0
Tunisia,,1/25/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.06,0.0002,0.0014,0.11,rain,73.79,48.13,37.57,0.46,1021.8,0.6,3,48.07,73.79,34.0,9.0
