Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Turkey,,12/31/2019,Possible light snow (< 1 in.) in the evening.,snow,0.21,0.0051,0.0155,0.79,snow,40.21,26.66,30.45,0.86,1018.8,0.95,1,29.79,40.21,38.9637,35.2433
Turkey,,1/1/2020,Foggy in the morning.,snow,0.24,0.0006,0.0059,0.41,snow,39.84,22.52,26.14,0.79,1020.9,0.9,1,26.05,39.84,38.9637,35.2433
Turkey,,1/2/2020,Clear throughout the day.,partly-cloudy-day,0.27,0.0001,0.0009,0.03,snow,43.59,27.03,23.84,0.76,1020.2,0.35,2,22.52,43.59,38.9637,35.2433
Turkey,,1/3/2020,"Foggy until morning, starting again in the evening.",snow,0.3,0.0059,0.0174,0.53,snow,35.8,25.55,25.7,0.83,1016.2,0.99,1,27.03,35.8,38.9637,35.2433
Turkey,,1/4/2020,Foggy in the morning.,snow,0.33,0.0016,0.0138,0.3,snow,36.35,20.29,23.39,0.8,1016.8,0.71,2,23.91,36.35,38.9637,35.2433
Turkey,,1/5/2020,Windy overnight.,cloudy,0.36,0.0,0.0,0.0,,42.43,36.89,21.89,0.68,1014.6,0.95,1,20.29,42.43,38.9637,35.2433
Turkey,,1/6/2020,Windy in the morning.,wind,0.39,0.0001,0.0002,0.11,rain,46.63,30.39,27.86,0.61,1012.0,0.95,1,36.47,46.63,38.9637,35.2433
Turkey,,1/7/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.43,0.0011,0.0063,0.24,rain,45.52,27.26,29.06,0.75,1013.9,0.79,1,30.33,45.52,38.9637,35.2433
Turkey,,1/8/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.46,0.0012,0.0053,0.15,snow,36.31,18.92,22.89,0.73,1020.9,0.62,2,25.58,36.31,38.9637,35.2433
Turkey,,1/9/2020,Clear throughout the day.,clear-day,0.5,0.0001,0.0003,0.04,snow,37.58,17.36,18.8,0.73,1025.2,0.21,2,18.92,37.58,38.9637,35.2433
