Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
US,Alabama,12/31/2019,Clear throughout the day.,clear-day,0.19,0.0003,0.0013,0.04,rain,60.37,32.53,32.58,0.63,1019.4,0.01,3,36.38,60.37,32.3182,-86.9023
US,Alabama,1/1/2020,Clear throughout the day.,clear-day,0.22,0.0008,0.0022,0.07,rain,61.0,47.42,30.54,0.61,1018.4,0.25,3,32.53,61.0,32.3182,-86.9023
US,Alabama,1/2/2020,Rain throughout the day.,rain,0.25,0.0186,0.0726,0.96,rain,68.09,61.2,54.4,0.88,1011.2,0.94,3,48.49,70.83,32.3182,-86.9023
US,Alabama,1/3/2020,Rain throughout the day.,rain,0.28,0.0423,0.2437,0.98,rain,63.4,54.9,61.56,0.95,1011.4,0.8,3,57.89,71.36,32.3182,-86.9023
US,Alabama,1/4/2020,Clear throughout the day.,rain,0.31,0.0016,0.0063,0.37,rain,59.38,30.98,43.43,0.71,1019.7,0.39,4,39.98,59.38,32.3182,-86.9023
US,Alabama,1/5/2020,Clear throughout the day.,clear-day,0.34,0.0005,0.0021,0.06,rain,60.45,35.99,30.59,0.64,1027.8,0.0,4,31.01,60.45,32.3182,-86.9023
US,Alabama,1/6/2020,Clear throughout the day.,clear-day,0.37,0.0001,0.0002,0.06,rain,67.34,50.55,42.38,0.76,1022.4,0.08,4,36.19,67.34,32.3182,-86.9023
US,Alabama,1/7/2020,Clear throughout the day.,clear-day,0.41,0.0007,0.0018,0.12,rain,62.47,31.89,37.19,0.57,1023.2,0.17,4,40.03,62.47,32.3182,-86.9023
US,Alabama,1/8/2020,Clear throughout the day.,clear-day,0.44,0.0002,0.0018,0.03,rain,63.61,34.41,29.19,0.57,1030.1,0.01,4,31.89,63.61,32.3182,-86.9023
US,Alabama,1/9/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.48,0.0005,0.0019,0.07,rain,68.21,58.47,38.2,0.62,1028.8,0.45,3,34.41,68.21,32.3182,-86.9023
US,Alabama,1/10/2020,Windy overnight.,rain,0.51,0.0017,0.0119,0.38,rain,75.02,67.79,57.82,0.74,1023.7,0.75,3,58.47,75.02,32.3182,-86.9023
US,Alabama,1/11/2020,Heavy rain in the afternoon and evening.,rain,0.55,0.0521,0.7240000000000001,0.92,rain,76.38,48.61,64.54,0.86,1015.6,0.94,3,57.63,76.38,32.3182,-86.9023
US,Alabama,1/12/2020,Light rain in the evening and overnight.,rain,0.59,0.0048,0.0205,0.63,rain,67.68,59.46,53.17,0.86,1023.8,0.49,4,49.05,67.68,32.3182,-86.9023
US,Alabama,1/13/2020,Rain throughout the day.,rain,0.62,0.0338,0.1095,1.0,rain,66.92,64.25,61.96,0.96,1024.7,0.88,3,59.46,66.92,32.3182,-86.9023
US,Alabama,1/14/2020,Rain throughout the day.,rain,0.66,0.0262,0.1065,0.98,rain,71.91,58.62,65.66,0.96,1022.7,0.98,3,62.32,71.91,32.3182,-86.9023
US,Alabama,1/15/2020,Possible drizzle overnight.,rain,0.7,0.0016,0.0044,0.48,rain,72.76,63.81,63.26,0.94,1021.8,0.76,3,58.62,72.76,32.3182,-86.9023
US,Alabama,1/16/2020,Drizzle in the morning.,rain,0.73,0.0035,0.0145,0.81,rain,69.94,49.48,53.98,0.73,1026.8,0.87,4,54.85,69.94,32.3182,-86.9023
US,Alabama,1/17/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.77,0.001,0.0029,0.14,rain,70.16,51.39,28.14,0.32,1029.7,0.53,4,49.48,70.16,32.3182,-86.9023
US,Alabama,1/18/2020,Light rain throughout the day.,rain,0.81,0.0074,0.0329,0.92,rain,64.53,40.51,51.29,0.78,1023.7,0.92,3,51.39,64.53,32.3182,-86.9023
US,Alabama,1/19/2020,Partly cloudy throughout the day.,rain,0.84,0.0021,0.0361,0.48,rain,52.98,28.47,27.15,0.5,1025.0,0.47,4,37.9,61.41,32.3182,-86.9023
US,Alabama,1/20/2020,Clear throughout the day.,clear-day,0.88,0.0006,0.0031,0.04,rain,46.38,24.16,16.96,0.47,1030.5,0.07,4,28.47,46.38,32.3182,-86.9023
