Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Ukraine,,12/31/2019,Possible drizzle in the morning.,rain,0.21,0.0018,0.0072,0.53,rain,36.98,24.52,29.1,0.79,1018.8,0.89,1,28.71,38.8,48.3794,31.1656
Ukraine,,1/1/2020,Overcast throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.15,snow,36.07,27.73,24.23,0.8,1026.7,0.77,1,24.52,36.07,48.3794,31.1656
Ukraine,,1/2/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.27,0.0001,0.0004,0.01,rain,37.24,21.2,26.07,0.81,1021.6,0.53,1,26.77,37.24,48.3794,31.1656
Ukraine,,1/3/2020,Clear throughout the day.,partly-cloudy-day,0.3,0.0003,0.0019,0.17,snow,41.05,31.22,25.03,0.79,1014.6,0.42,1,21.2,41.05,48.3794,31.1656
Ukraine,,1/4/2020,Foggy in the morning.,rain,0.33,0.001,0.0031,0.54,rain,38.89,30.87,30.46,0.88,1015.0,0.98,1,30.94,38.89,48.3794,31.1656
Ukraine,,1/5/2020,Overcast throughout the day.,snow,0.36,0.0009,0.0031,0.39,snow,34.56,20.33,25.54,0.79,1027.4,0.88,1,25.91,34.56,48.3794,31.1656
Ukraine,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0002,0.09,snow,33.07,18.0,18.56,0.74,1028.9,0.13,1,20.32,33.07,48.3794,31.1656
Ukraine,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.02,,33.82,20.97,19.4,0.8,1030.8,0.07,1,18.0,33.82,48.3794,31.1656
Ukraine,,1/8/2020,Foggy in the afternoon.,partly-cloudy-day,0.46,0.0004,0.0022,0.16,snow,31.7,27.05,22.02,0.81,1025.5,0.81,1,20.97,31.7,48.3794,31.1656
Ukraine,,1/9/2020,Overcast throughout the day.,rain,0.5,0.0011,0.0038,0.28,rain,34.52,32.67,27.86,0.88,1022.1,0.96,1,27.05,35.17,48.3794,31.1656
Ukraine,,1/10/2020,Overcast throughout the day.,cloudy,0.54,0.0004,0.0019,0.22,rain,44.66,27.68,33.15,0.83,1019.3,0.99,1,32.42,44.66,48.3794,31.1656
Ukraine,,1/11/2020,Clear throughout the day.,partly-cloudy-day,0.57,0.0002,0.0009,0.05,rain,40.62,26.71,25.83,0.75,1027.1,0.32,1,27.5,40.62,48.3794,31.1656
Ukraine,,1/12/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.61,0.0001,0.0003,0.02,snow,43.19,27.45,26.76,0.79,1024.6,0.69,1,25.38,43.19,48.3794,31.1656
Ukraine,,1/13/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.65,0.0,0.0,0.0,,43.25,29.16,28.61,0.81,1026.6,0.76,1,27.45,43.25,48.3794,31.1656
Ukraine,,1/14/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.69,0.0,0.0002,0.02,,42.91,30.29,29.36,0.8,1031.6,0.85,1,29.16,42.91,48.3794,31.1656
Ukraine,,1/15/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.72,0.0001,0.0003,0.09,rain,41.16,26.2,29.97,0.85,1032.3,0.59,1,30.29,41.16,48.3794,31.1656
Ukraine,,1/16/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.76,0.0001,0.0004,0.06,rain,40.93,26.52,27.29,0.83,1032.7,0.56,1,26.2,40.93,48.3794,31.1656
Ukraine,,1/17/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.79,0.0002,0.0006,0.05,snow,38.09,25.22,23.46,0.75,1031.9,0.53,1,26.52,38.09,48.3794,31.1656
Ukraine,,1/18/2020,Clear throughout the day.,clear-day,0.83,0.0001,0.0004,0.02,snow,36.63,22.69,22.53,0.77,1031.8,0.26,1,24.68,36.63,48.3794,31.1656
Ukraine,,1/19/2020,Overcast throughout the day.,cloudy,0.86,0.0001,0.0004,0.05,snow,32.58,28.58,20.59,0.74,1038.3,0.97,1,22.69,32.59,48.3794,31.1656
Ukraine,,1/20/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.9,0.0001,0.0002,0.13,snow,40.47,30.78,25.15,0.72,1032.4,0.74,1,28.58,40.47,48.3794,31.1656
Ukraine,,1/21/2020,Overcast throughout the day.,cloudy,0.93,0.0005,0.0014,0.12,rain,42.73,31.92,26.88,0.7,1018.3,0.92,1,30.78,42.73,48.3794,31.1656
Ukraine,,1/22/2020,Mostly cloudy throughout the day.,rain,0.96,0.0006,0.0019,0.36,rain,37.5,27.38,24.01,0.67,1021.3,0.8,1,30.97,37.5,48.3794,31.1656
Ukraine,,1/23/2020,Partly cloudy throughout the day.,partly-cloudy-day,1.0,0.0001,0.0002,0.03,snow,40.94,26.48,22.72,0.65,1024.9,0.51,1,27.38,40.94,48.3794,31.1656
Ukraine,,1/24/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.03,0.0001,0.0003,0.04,rain,44.78,28.28,23.7,0.67,1019.2,0.57,1,26.48,44.78,48.3794,31.1656
Ukraine,,1/25/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.06,0.0001,0.0003,0.09,snow,41.89,25.36,27.64,0.8,1023.1,0.57,1,28.28,41.89,48.3794,31.1656
Ukraine,,1/26/2020,Partly cloudy throughout the day.,clear-day,0.09,0.0001,0.0004,0.1,snow,42.49,29.69,26.85,0.81,1020.0,0.26,1,25.36,42.49,48.3794,31.1656
Ukraine,,1/27/2020,Foggy overnight.,partly-cloudy-day,0.12,0.0002,0.0008,0.11,snow,44.68,34.13,30.56,0.84,1012.5,0.72,1,29.69,44.68,48.3794,31.1656
Ukraine,,1/28/2020,Light rain in the afternoon and evening.,rain,0.15,0.0112,0.0329,0.82,rain,44.29,31.46,34.67,0.9,1003.1,0.87,1,34.12,44.29,48.3794,31.1656
Ukraine,,1/29/2020,Mostly cloudy throughout the day.,snow,0.18,0.0009,0.0029,0.42,snow,40.75,26.24,29.79,0.8,1008.0,0.76,1,31.46,40.75,48.3794,31.1656
Ukraine,,1/30/2020,Possible light rain in the evening and overnight.,rain,0.21,0.0029,0.0189,0.54,rain,42.7,34.29,28.76,0.8,1008.3,0.72,1,26.24,42.7,48.3794,31.1656
Ukraine,,1/31/2020,Overcast throughout the day.,rain,0.24,0.0013,0.0047,0.53,rain,46.65,36.24,36.6,0.88,1008.0,0.83,1,35.27,46.65,48.3794,31.1656
Ukraine,,2/1/2020,Possible light rain in the evening.,rain,0.27,0.0019,0.0161,0.55,rain,51.75,38.69,39.49,0.85,1006.3,0.78,1,36.24,51.75,48.3794,31.1656
Ukraine,,2/2/2020,Light rain in the morning and afternoon.,rain,0.3,0.0094,0.0458,0.92,rain,41.91,26.05,34.97,0.84,1002.6,0.88,1,34.17,42.96,48.3794,31.1656
Ukraine,,2/3/2020,Light rain in the evening and overnight.,rain,0.34,0.0005,0.0084,0.56,rain,42.58,35.25,29.46,0.79,1004.3,0.56,1,26.05,42.58,48.3794,31.1656
Ukraine,,2/4/2020,Light rain until evening.,rain,0.37,0.0299,0.0736,0.98,rain,38.01,23.66,32.2,0.88,1000.4,1.0,1,29.04,40.85,48.3794,31.1656
Ukraine,,2/5/2020,Foggy overnight.,wind,0.41,0.0003,0.0028,0.08,snow,34.88,19.71,18.04,0.64,1013.3,0.92,1,23.66,34.88,48.3794,31.1656
Ukraine,,2/6/2020,Partly cloudy throughout the day.,snow,0.44,0.0017,0.0045,0.26,snow,27.32,17.01,17.07,0.71,1015.2,0.66,1,19.71,33.66,48.3794,31.1656
Ukraine,,2/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.48,0.0002,0.0023,0.08,snow,27.73,14.86,12.98,0.69,1026.5,0.42,1,17.01,27.73,48.3794,31.1656
Ukraine,,2/8/2020,Clear throughout the day.,clear-day,0.52,0.0001,0.0003,0.04,snow,33.63,19.87,17.05,0.76,1030.3,0.07,2,14.86,33.63,48.3794,31.1656
Ukraine,,2/9/2020,Light rain overnight.,snow,0.56,0.0016,0.0337,0.55,snow,41.32,33.94,24.81,0.76,1018.4,0.4,2,19.87,41.32,48.3794,31.1656
Ukraine,,2/10/2020,"Light rain until morning, starting again in the evening.",rain,0.6,0.0159,0.0537,0.97,rain,46.97,33.71,34.16,0.84,1000.5,0.8,2,33.94,46.97,48.3794,31.1656
Ukraine,,2/11/2020,Possible drizzle in the morning and afternoon.,rain,0.63,0.0019,0.0163,0.87,rain,40.31,29.85,31.07,0.82,1005.0,0.95,1,31.94,40.31,48.3794,31.1656
Ukraine,,2/12/2020,Possible drizzle in the afternoon.,snow,0.67,0.0009,0.0049,0.54,snow,41.15,24.68,28.49,0.78,1016.5,0.72,1,29.85,41.15,48.3794,31.1656
Ukraine,,2/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.71,0.0001,0.0003,0.08,snow,45.95,32.33,27.66,0.73,1022.3,0.58,1,24.68,45.95,48.3794,31.1656
Ukraine,,2/14/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.74,0.0001,0.0005,0.14,rain,46.62,25.76,31.43,0.78,1026.2,0.7,1,32.33,46.62,48.3794,31.1656
Ukraine,,2/15/2020,Clear throughout the day.,partly-cloudy-day,0.78,0.0001,0.0003,0.08,rain,46.8,28.56,27.13,0.71,1033.0,0.41,2,25.76,46.8,48.3794,31.1656
Ukraine,,2/16/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.81,0.0001,0.0003,0.06,rain,48.33,33.13,26.55,0.64,1027.1,0.54,2,28.56,48.33,48.3794,31.1656
Ukraine,,2/17/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.85,0.0002,0.0004,0.09,rain,50.78,33.45,34.46,0.79,1019.4,0.84,2,33.13,50.78,48.3794,31.1656
Ukraine,,2/18/2020,Clear throughout the day.,partly-cloudy-day,0.88,0.0,0.0002,0.1,,49.85,29.02,32.57,0.76,1019.8,0.37,2,33.45,49.85,48.3794,31.1656
Ukraine,,2/19/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.91,0.0001,0.0004,0.11,snow,48.72,25.61,29.98,0.76,1020.4,0.7,1,29.02,48.72,48.3794,31.1656
Ukraine,,2/20/2020,Partly cloudy throughout the day.,clear-day,0.94,0.0001,0.0003,0.16,snow,43.98,23.28,26.12,0.76,1022.9,0.3,2,25.61,43.98,48.3794,31.1656
Ukraine,,2/21/2020,Clear throughout the day.,clear-day,0.97,0.0001,0.0004,0.04,snow,44.97,27.99,24.14,0.71,1026.3,0.1,2,23.28,44.97,48.3794,31.1656
Ukraine,,2/22/2020,Possible drizzle overnight.,cloudy,0.0,0.0004,0.0065,0.22,snow,50.05,38.66,30.5,0.69,1015.5,0.88,2,27.99,50.05,48.3794,31.1656
Ukraine,,2/23/2020,Light rain in the morning and afternoon.,rain,0.03,0.0077,0.0176,0.89,rain,42.85,28.81,34.72,0.83,1000.3,0.97,1,36.39,42.85,48.3794,31.1656
Ukraine,,2/24/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.07,0.0001,0.0003,0.1,rain,47.49,35.71,29.25,0.72,1011.5,0.65,2,28.81,47.49,48.3794,31.1656
Ukraine,,2/25/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.1,0.0001,0.0003,0.08,rain,56.79,37.43,37.28,0.76,1000.2,0.7,2,35.71,56.79,48.3794,31.1656
Ukraine,,2/26/2020,Possible drizzle starting in the afternoon.,rain,0.13,0.0016,0.0128,0.5,rain,51.15,31.69,36.27,0.82,998.3,0.62,2,36.1,51.15,48.3794,31.1656
Ukraine,,2/27/2020,Partly cloudy throughout the day.,rain,0.16,0.0013,0.0118,0.6,rain,45.92,29.72,28.74,0.7,1007.7,0.73,2,31.69,45.92,48.3794,31.1656
Ukraine,,2/28/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.19,0.0001,0.0008,0.08,snow,46.81,29.98,26.97,0.67,1016.3,0.64,2,29.72,46.81,48.3794,31.1656
Ukraine,,2/29/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.22,0.0001,0.0003,0.05,snow,49.3,36.46,29.29,0.67,1017.5,0.61,2,29.98,49.3,48.3794,31.1656
Ukraine,,3/1/2020,Overcast throughout the day.,cloudy,0.25,0.0003,0.0027,0.19,rain,48.44,35.65,35.28,0.76,1011.9,0.9,2,36.46,48.44,48.3794,31.1656
