Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
United Arab Emirates,,12/31/2019,Clear throughout the day.,clear-day,0.21,0.0001,0.0002,0.04,rain,84.55,61.83,51.96,0.61,1014.8,0.2,5,57.39,84.55,24.0,54.0
United Arab Emirates,,1/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.07,rain,81.13,61.84,63.11,0.8,1017.8,0.62,5,61.93,81.13,24.0,54.0
United Arab Emirates,,1/2/2020,Clear throughout the day.,clear-day,0.27,0.0,0.0002,0.01,,87.94,63.85,54.23,0.57,1018.1,0.0,6,61.84,87.94,24.0,54.0
United Arab Emirates,,1/3/2020,Clear throughout the day.,clear-day,0.3,0.0002,0.0004,0.08,rain,89.06,70.05,46.49,0.36,1015.3,0.0,6,63.85,89.06,24.0,54.0
United Arab Emirates,,1/4/2020,Partly cloudy throughout the day.,clear-day,0.33,0.0001,0.0004,0.05,rain,87.56,67.19,56.22,0.53,1012.3,0.3,5,70.18,87.56,24.0,54.0
United Arab Emirates,,1/5/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.36,0.0001,0.0006,0.11,rain,74.66,60.87,59.75,0.7,1016.9,0.46,4,65.28,74.66,24.0,54.0
United Arab Emirates,,1/6/2020,Clear throughout the day.,clear-day,0.39,0.0001,0.0002,0.08,rain,75.71,58.48,55.28,0.65,1019.1,0.2,5,60.86,75.71,24.0,54.0
United Arab Emirates,,1/7/2020,Clear throughout the day.,clear-day,0.43,0.0,0.0002,0.02,,78.88,58.53,52.77,0.62,1017.4,0.05,6,58.48,78.88,24.0,54.0
United Arab Emirates,,1/8/2020,Light rain overnight.,rain,0.46,0.0033,0.0318,0.44,rain,83.35,63.94,51.26,0.56,1015.0,0.47,6,58.53,83.35,24.0,54.0
United Arab Emirates,,1/9/2020,Rain throughout the day.,rain,0.5,0.0382,0.1164,0.99,rain,77.95,61.68,62.26,0.77,1010.9,0.81,4,63.01,77.95,24.0,54.0
United Arab Emirates,,1/10/2020,Rain in the morning.,rain,0.53,0.0366,0.1281,0.97,rain,70.31,56.37,59.31,0.81,1011.4,0.38,5,58.66,71.25,24.0,54.0
United Arab Emirates,,1/11/2020,Clear throughout the day.,clear-day,0.57,0.0004,0.0017,0.09,rain,64.59,57.82,51.79,0.71,1018.9,0.0,5,56.37,64.59,24.0,54.0
United Arab Emirates,,1/12/2020,Partly cloudy throughout the day.,clear-day,0.61,0.0004,0.0015,0.11,rain,70.93,52.52,54.13,0.71,1019.3,0.24,5,57.82,70.93,24.0,54.0
United Arab Emirates,,1/13/2020,Clear throughout the day.,clear-day,0.64,0.0,0.0001,0.01,,71.33,56.96,45.81,0.59,1018.4,0.07,5,52.52,71.33,24.0,54.0
United Arab Emirates,,1/14/2020,Clear throughout the day.,clear-day,0.68,0.0003,0.0018,0.15,rain,71.43,52.62,49.95,0.61,1021.0,0.16,5,57.05,71.43,24.0,54.0
United Arab Emirates,,1/15/2020,Clear throughout the day.,clear-day,0.72,0.0001,0.0002,0.03,rain,73.41,54.12,47.4,0.59,1023.6,0.11,5,52.62,73.41,24.0,54.0
United Arab Emirates,,1/16/2020,Clear throughout the day.,clear-day,0.76,0.0001,0.0004,0.04,rain,75.22,54.71,50.46,0.64,1021.3,0.0,6,54.12,75.22,24.0,54.0
United Arab Emirates,,1/17/2020,Clear throughout the day.,clear-day,0.79,0.0001,0.0002,0.04,rain,81.68,54.25,47.11,0.55,1018.3,0.0,6,54.71,81.68,24.0,54.0
United Arab Emirates,,1/18/2020,Clear throughout the day.,clear-day,0.83,0.0,0.0,0.0,,82.51,58.11,44.58,0.44,1017.1,0.03,6,54.25,82.51,24.0,54.0
United Arab Emirates,,1/19/2020,Clear throughout the day.,clear-day,0.86,0.0001,0.0002,0.03,rain,80.48,60.52,52.22,0.6,1017.5,0.07,6,58.11,80.48,24.0,54.0
United Arab Emirates,,1/20/2020,Clear throughout the day.,clear-day,0.89,0.0001,0.0002,0.06,rain,75.98,53.85,54.44,0.65,1017.5,0.12,6,60.52,75.98,24.0,54.0
United Arab Emirates,,1/21/2020,Clear throughout the day.,clear-day,0.93,0.0,0.0001,0.02,,83.72,60.21,48.46,0.58,1016.8,0.08,6,53.85,83.72,24.0,54.0
United Arab Emirates,,1/22/2020,Clear throughout the day.,clear-day,0.96,0.0001,0.0002,0.05,rain,83.8,62.76,54.91,0.61,1016.5,0.28,6,60.21,83.8,24.0,54.0
United Arab Emirates,,1/23/2020,Mostly cloudy throughout the day.,rain,0.99,0.0018,0.0067,0.28,rain,69.12,58.99,57.9,0.76,1019.2,0.78,4,62.76,69.12,24.0,54.0
