Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
United Kingdom,Cayman Islands,12/31/2019,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.19,0.0001,0.001,0.06,rain,84.35,78.15,71.83,0.74,1015.4,0.52,5,77.49,84.35,19.3133,-81.2546
United Kingdom,Cayman Islands,1/1/2020,Humid throughout the day.,partly-cloudy-day,0.22,0.0016,0.015,0.17,rain,85.1,78.25,73.37,0.77,1015.0,0.38,6,78.15,85.1,19.3133,-81.2546
United Kingdom,Cayman Islands,1/2/2020,Humid and mostly cloudy throughout the day.,rain,0.25,0.0088,0.0257,0.55,rain,85.08,79.21,74.47,0.79,1014.5,0.6,5,78.28,85.08,19.3133,-81.2546
United Kingdom,Cayman Islands,1/3/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.28,0.0015,0.005,0.24,rain,84.99,79.49,74.34,0.78,1015.8,0.37,6,79.21,84.99,19.3133,-81.2546
United Kingdom,Cayman Islands,1/4/2020,Possible light rain overnight.,rain,0.31,0.0055,0.025,0.31,rain,84.91,78.65,74.09,0.77,1018.2,0.36,7,78.65,84.91,19.3133,-81.2546
United Kingdom,Cayman Islands,1/5/2020,Humid and partly cloudy throughout the day.,rain,0.34,0.005,0.0183,0.5,rain,83.72,75.31,73.42,0.78,1019.5,0.39,6,77.78,83.72,19.3133,-81.2546
United Kingdom,Cayman Islands,1/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.37,0.0006,0.003,0.16,rain,80.37,76.45,67.95,0.71,1018.2,0.58,6,75.31,80.37,19.3133,-81.2546
United Kingdom,Cayman Islands,1/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.4,0.0002,0.0004,0.1,rain,82.19,75.8,68.09,0.69,1018.1,0.41,6,76.45,82.19,19.3133,-81.2546
United Kingdom,Cayman Islands,1/8/2020,Windy overnight.,partly-cloudy-day,0.44,0.001,0.0067,0.21,rain,81.76,75.88,69.22,0.73,1019.9,0.46,7,75.8,81.76,19.3133,-81.2546
United Kingdom,Cayman Islands,1/9/2020,Windy in the morning and afternoon.,rain,0.47,0.0021,0.0096,0.45,rain,84.1,78.08,72.75,0.77,1018.7,0.47,6,75.88,84.1,19.3133,-81.2546
United Kingdom,Cayman Islands,1/10/2020,Windy in the morning.,rain,0.51,0.0023,0.0056,0.38,rain,84.04,78.82,73.76,0.78,1016.9,0.17,7,78.08,84.04,19.3133,-81.2546
United Kingdom,Cayman Islands,1/11/2020,Humid throughout the day.,clear-day,0.55,0.001,0.0062,0.18,rain,83.96,78.41,73.3,0.77,1017.1,0.09,7,78.82,83.96,19.3133,-81.2546
United Kingdom,Cayman Islands,1/12/2020,Humid throughout the day.,clear-day,0.58,0.0004,0.0022,0.16,rain,84.72,77.76,72.93,0.75,1018.5,0.02,7,78.4,84.72,19.3133,-81.2546
United Kingdom,Cayman Islands,1/13/2020,Humid throughout the day.,rain,0.62,0.0041,0.0117,0.41,rain,83.77,77.91,73.79,0.79,1018.5,0.2,7,77.76,83.77,19.3133,-81.2546
United Kingdom,Cayman Islands,1/14/2020,Humid throughout the day.,rain,0.66,0.0014,0.0057,0.31,rain,83.58,76.9,72.52,0.76,1018.1,0.23,7,77.91,83.58,19.3133,-81.2546
United Kingdom,Cayman Islands,1/15/2020,Windy in the morning.,rain,0.7,0.0013,0.0095,0.26,rain,83.26,77.24,70.12,0.71,1017.3,0.17,7,76.9,83.26,19.3133,-81.2546
United Kingdom,Cayman Islands,1/16/2020,Humid and partly cloudy throughout the day.,rain,0.73,0.002,0.0066,0.35,rain,84.21,77.62,73.3,0.78,1017.9,0.39,6,77.24,84.21,19.3133,-81.2546
United Kingdom,Cayman Islands,1/17/2020,Possible drizzle in the morning.,rain,0.77,0.0032,0.0151,0.45,rain,82.78,75.62,72.4,0.78,1018.0,0.43,6,77.62,82.78,19.3133,-81.2546
United Kingdom,Cayman Islands,1/18/2020,Windy in the morning.,clear-day,0.8,0.0004,0.0021,0.14,rain,83.03,76.83,69.09,0.71,1017.9,0.27,7,75.62,83.03,19.3133,-81.2546
United Kingdom,Cayman Islands,1/19/2020,Possible light rain in the evening and overnight.,rain,0.84,0.0098,0.0301,0.72,rain,83.27,76.3,71.98,0.77,1016.3,0.26,7,76.83,83.27,19.3133,-81.2546
United Kingdom,Cayman Islands,1/20/2020,Humid throughout the day.,rain,0.87,0.0069,0.0151,0.6,rain,83.82,76.48,71.75,0.76,1016.4,0.23,7,76.3,83.82,19.3133,-81.2546
United Kingdom,Cayman Islands,1/21/2020,Possible light rain in the afternoon.,rain,0.91,0.0099,0.0304,0.63,rain,80.85,69.98,70.26,0.77,1015.6,0.41,6,73.48,80.85,19.3133,-81.2546
United Kingdom,Cayman Islands,1/22/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.94,0.0007,0.0024,0.15,rain,72.7,68.52,60.07,0.68,1016.6,0.6,5,68.78,73.39,19.3133,-81.2546
United Kingdom,Cayman Islands,1/23/2020,Clear throughout the day.,clear-day,0.97,0.0001,0.0004,0.07,rain,76.49,72.54,59.03,0.62,1015.0,0.31,7,68.52,76.49,19.3133,-81.2546
United Kingdom,Cayman Islands,1/24/2020,Partly cloudy throughout the day.,clear-day,0.01,0.0005,0.003,0.09,rain,79.73,74.14,63.98,0.65,1015.3,0.3,7,72.54,79.73,19.3133,-81.2546
United Kingdom,Cayman Islands,1/25/2020,Clear throughout the day.,clear-day,0.04,0.0002,0.0009,0.11,rain,80.53,75.59,64.79,0.65,1016.2,0.19,8,74.14,80.53,19.3133,-81.2546
United Kingdom,Cayman Islands,1/26/2020,Clear throughout the day.,clear-day,0.07,0.0007,0.0025,0.21,rain,80.76,74.35,67.21,0.69,1016.3,0.15,8,75.59,80.76,19.3133,-81.2546
United Kingdom,Cayman Islands,1/27/2020,Clear throughout the day.,clear-day,0.1,0.0001,0.0003,0.14,rain,81.36,74.84,66.05,0.67,1015.3,0.11,8,74.35,81.36,19.3133,-81.2546
United Kingdom,Cayman Islands,1/28/2020,Clear throughout the day.,clear-day,0.13,0.0001,0.0003,0.1,rain,81.64,75.71,67.07,0.68,1014.0,0.04,8,74.84,81.64,19.3133,-81.2546
United Kingdom,Cayman Islands,1/29/2020,Clear throughout the day.,clear-day,0.16,0.0001,0.0003,0.13,rain,83.13,76.83,68.21,0.69,1014.2,0.1,8,75.71,83.13,19.3133,-81.2546
United Kingdom,Cayman Islands,1/30/2020,Clear throughout the day.,clear-day,0.19,0.0002,0.0004,0.12,rain,82.91,77.04,69.46,0.71,1014.0,0.18,7,76.83,82.91,19.3133,-81.2546
United Kingdom,Cayman Islands,1/31/2020,Humid throughout the day.,clear-day,0.22,0.0002,0.0003,0.08,rain,83.29,77.74,70.7,0.73,1015.2,0.18,8,77.04,83.29,19.3133,-81.2546
United Kingdom,Cayman Islands,2/1/2020,Humid throughout the day.,rain,0.25,0.0026,0.0076,0.35,rain,84.11,77.57,72.26,0.76,1016.4,0.11,9,77.74,84.11,19.3133,-81.2546
United Kingdom,Cayman Islands,2/2/2020,Humid and partly cloudy throughout the day.,rain,0.28,0.0021,0.0093,0.29,rain,81.59,74.29,69.69,0.74,1017.9,0.29,6,75.53,81.59,19.3133,-81.2546
United Kingdom,Cayman Islands,2/3/2020,Clear throughout the day.,clear-day,0.31,0.0003,0.0026,0.14,rain,80.37,76.31,68.28,0.73,1018.2,0.22,9,74.29,80.37,19.3133,-81.2546
United Kingdom,Cayman Islands,2/4/2020,Possible light rain in the morning.,rain,0.35,0.0107,0.0218,0.64,rain,83.22,77.22,72.95,0.8,1016.5,0.4,7,76.31,83.22,19.3133,-81.2546
United Kingdom,Cayman Islands,2/5/2020,Humid throughout the day.,rain,0.38,0.0013,0.0077,0.25,rain,84.09,77.8,73.22,0.79,1014.6,0.12,9,77.22,84.09,19.3133,-81.2546
United Kingdom,Cayman Islands,2/6/2020,Humid throughout the day.,clear-day,0.42,0.0005,0.009000000000000001,0.19,rain,84.07,78.75,72.31,0.75,1012.3,0.07,8,77.8,84.07,19.3133,-81.2546
United Kingdom,Cayman Islands,2/7/2020,Humid throughout the day.,clear-day,0.45,0.0007,0.0023,0.16,rain,83.95,78.09,73.21,0.77,1014.6,0.2,8,78.75,83.95,19.3133,-81.2546
United Kingdom,Cayman Islands,2/8/2020,Humid throughout the day.,clear-day,0.49,0.001,0.0032,0.22,rain,84.68,77.9,72.89,0.77,1018.5,0.09,9,78.09,84.68,19.3133,-81.2546
United Kingdom,Cayman Islands,2/9/2020,Humid throughout the day.,clear-day,0.53,0.0003,0.0008,0.16,rain,83.67,77.64,72.16,0.76,1019.3,0.04,9,77.9,83.67,19.3133,-81.2546
United Kingdom,Cayman Islands,2/10/2020,Humid and partly cloudy throughout the day.,clear-day,0.57,0.0006,0.0027,0.13,rain,84.16,77.95,72.7,0.77,1017.7,0.21,7,77.64,84.16,19.3133,-81.2546
United Kingdom,Cayman Islands,2/11/2020,Humid throughout the day.,clear-day,0.61,0.0012,0.0049,0.19,rain,84.17,77.58,73.49,0.78,1016.7,0.14,8,77.95,84.17,19.3133,-81.2546
United Kingdom,Cayman Islands,2/12/2020,Humid throughout the day.,clear-day,0.64,0.0012,0.0058,0.24,rain,84.08,77.57,73.11,0.78,1015.8,0.12,9,77.58,84.08,19.3133,-81.2546
United Kingdom,Cayman Islands,2/13/2020,Humid throughout the day.,clear-day,0.68,0.0005,0.003,0.14,rain,84.67,77.61,72.56,0.77,1015.7,0.08,9,77.57,84.67,19.3133,-81.2546
United Kingdom,Cayman Islands,2/14/2020,Humid throughout the day.,clear-day,0.72,0.0004,0.0012,0.17,rain,84.42,77.49,72.88,0.77,1017.6,0.03,9,77.61,84.42,19.3133,-81.2546
United Kingdom,Cayman Islands,2/15/2020,Humid throughout the day.,clear-day,0.75,0.0005,0.0032,0.2,rain,83.56,77.46,71.73,0.75,1017.7,0.09,9,77.49,83.56,19.3133,-81.2546
United Kingdom,Cayman Islands,2/16/2020,Humid throughout the day.,clear-day,0.79,0.0005,0.0029,0.16,rain,83.44,76.66,71.33,0.75,1016.0,0.05,9,77.46,83.44,19.3133,-81.2546
United Kingdom,Cayman Islands,2/17/2020,Humid throughout the day.,clear-day,0.82,0.0001,0.0003,0.1,rain,84.22,77.75,71.97,0.75,1015.3,0.05,10,76.66,84.22,19.3133,-81.2546
United Kingdom,Cayman Islands,2/18/2020,Humid throughout the day.,clear-day,0.86,0.0003,0.0012,0.09,rain,85.23,78.68,73.8,0.78,1015.9,0.14,9,77.75,85.23,19.3133,-81.2546
United Kingdom,Cayman Islands,2/19/2020,Humid throughout the day.,clear-day,0.89,0.0006,0.0033,0.13,rain,84.49,77.2,74.02,0.79,1017.2,0.07,9,78.31,84.49,19.3133,-81.2546
United Kingdom,Cayman Islands,2/20/2020,Humid throughout the day.,clear-day,0.92,0.0031,0.0126,0.19,rain,84.03,76.79,72.91,0.78,1016.0,0.15,10,77.2,84.03,19.3133,-81.2546
United Kingdom,Cayman Islands,2/21/2020,Humid throughout the day.,rain,0.95,0.0019,0.0113,0.28,rain,84.06,75.91,72.25,0.76,1017.1,0.13,10,76.79,84.06,19.3133,-81.2546
United Kingdom,Cayman Islands,2/22/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.98,0.0019,0.0101,0.24,rain,80.5,74.27,69.2,0.74,1017.3,0.42,7,75.53,80.5,19.3133,-81.2546
United Kingdom,Cayman Islands,2/23/2020,Partly cloudy throughout the day.,rain,0.01,0.0061,0.0418,0.36,rain,81.17,75.53,69.51,0.75,1015.9,0.39,7,74.27,81.17,19.3133,-81.2546
United Kingdom,Cayman Islands,2/24/2020,Humid throughout the day.,clear-day,0.04,0.002,0.0035,0.24,rain,82.78,77.12,71.45,0.77,1014.5,0.24,10,75.53,82.78,19.3133,-81.2546
United Kingdom,Cayman Islands,2/25/2020,Humid throughout the day.,clear-day,0.07,0.0004,0.0026,0.14,rain,83.96,76.85,72.53,0.77,1013.7,0.02,10,77.12,83.96,19.3133,-81.2546
United Kingdom,Cayman Islands,2/26/2020,Humid throughout the day.,rain,0.1,0.0027,0.0082,0.37,rain,84.03,77.37,72.25,0.76,1014.4,0.1,10,76.85,84.03,19.3133,-81.2546
United Kingdom,Cayman Islands,2/27/2020,Clear throughout the day.,clear-day,0.13,0.0002,0.0012,0.12,rain,83.97,75.45,70.21,0.72,1017.2,0.11,10,77.37,83.97,19.3133,-81.2546
United Kingdom,Cayman Islands,2/28/2020,Humid and partly cloudy throughout the day.,rain,0.16,0.0024,0.0109,0.34,rain,79.9,72.59,70.29,0.79,1019.3,0.45,8,75.36,79.9,19.3133,-81.2546
United Kingdom,Cayman Islands,2/29/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.2,0.0004,0.0012,0.14,rain,78.36,71.62,64.3,0.68,1021.3,0.53,7,72.59,78.36,19.3133,-81.2546
United Kingdom,Cayman Islands,3/1/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.23,0.0003,0.0017,0.12,rain,79.08,74.32,65.25,0.69,1019.9,0.32,8,71.62,79.08,19.3133,-81.2546
United Kingdom,Cayman Islands,3/2/2020,Humid throughout the day.,rain,0.26,0.0019,0.0075,0.27,rain,82.15,76.9,71.34,0.79,1016.7,0.2,9,74.32,82.15,19.3133,-81.2546
United Kingdom,Cayman Islands,3/3/2020,Humid throughout the day.,clear-day,0.29,0.0007,0.0025,0.15,rain,83.33,77.24,73.19,0.8,1015.4,0.08,10,76.9,83.33,19.3133,-81.2546
United Kingdom,Cayman Islands,3/4/2020,Humid throughout the day.,clear-day,0.33,0.0006,0.002,0.14,rain,84.74,78.19,74.3,0.8,1015.5,0.16,10,77.24,84.74,19.3133,-81.2546
United Kingdom,Cayman Islands,3/5/2020,Humid throughout the day.,clear-day,0.36,0.0001,0.0004,0.06,rain,84.63,77.63,73.09,0.76,1016.8,0.03,11,78.19,84.63,19.3133,-81.2546
United Kingdom,Cayman Islands,3/6/2020,Humid throughout the day.,rain,0.4,0.0009,0.0041,0.26,rain,83.81,77.53,73.07,0.78,1017.7,0.16,10,77.63,83.81,19.3133,-81.2546
United Kingdom,Cayman Islands,3/7/2020,Windy in the evening and overnight.,rain,0.44,0.0033,0.0147,0.4,rain,82.31,73.2,72.5,0.79,1017.0,0.21,10,76.49,82.31,19.3133,-81.2546
