Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Uruguay,,12/31/2019,Possible light rain until evening.,rain,0.18,0.012,0.0254,0.88,rain,84.88,69.18,75.14,0.93,1005.6,0.76,9,71.88,84.88,-32.5228,-55.7658
Uruguay,,1/1/2020,Humid and overcast throughout the day.,rain,0.21,0.0031,0.0109,0.42,rain,82.37,62.6,69.67,0.85,1009.2,0.87,6,69.18,82.37,-32.5228,-55.7658
Uruguay,,1/2/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0003,0.002,0.1,rain,82.37,60.68,63.56,0.75,1015.9,0.45,9,62.6,82.37,-32.5228,-55.7658
Uruguay,,1/3/2020,Partly cloudy throughout the day.,clear-day,0.27,0.0001,0.0003,0.04,rain,82.32,59.62,61.94,0.72,1018.7,0.28,11,60.68,82.32,-32.5228,-55.7658
Uruguay,,1/4/2020,Clear throughout the day.,clear-day,0.31,0.0002,0.0007,0.11,rain,83.72,63.36,62.22,0.72,1014.2,0.09,12,59.62,83.72,-32.5228,-55.7658
Uruguay,,1/5/2020,Clear throughout the day.,clear-day,0.34,0.0001,0.0003,0.05,rain,89.06,67.74,63.53,0.67,1006.3,0.19,12,63.36,89.06,-32.5228,-55.7658
Uruguay,,1/6/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.37,0.0018,0.0166,0.23,rain,84.42,62.6,62.15,0.64,1003.6,0.67,7,67.74,84.42,-32.5228,-55.7658
Uruguay,,1/7/2020,Clear throughout the day.,clear-day,0.4,0.0001,0.0002,0.06,rain,83.86,58.71,53.43,0.53,1009.3,0.02,12,62.6,83.86,-32.5228,-55.7658
Uruguay,,1/8/2020,Clear throughout the day.,clear-day,0.44,0.0001,0.0002,0.02,rain,91.58,64.63,56.95,0.54,1009.2,0.0,13,58.71,91.58,-32.5228,-55.7658
Uruguay,,1/9/2020,Humid throughout the day.,clear-day,0.47,0.0005,0.0054,0.17,rain,90.86,69.62,66.57,0.67,1008.0,0.19,11,64.63,90.86,-32.5228,-55.7658
Uruguay,,1/10/2020,Humid and mostly cloudy throughout the day.,rain,0.51,0.0042,0.0271,0.45,rain,91.59,68.22,71.18,0.76,1008.8,0.53,8,69.64,91.59,-32.5228,-55.7658
Uruguay,,1/11/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.54,0.0001,0.0004,0.08,rain,92.14,64.11,67.11,0.7,1011.5,0.49,9,68.22,92.14,-32.5228,-55.7658
Uruguay,,1/12/2020,Clear throughout the day.,clear-day,0.58,0.0002,0.0004,0.05,rain,95.54,61.75,58.82,0.52,1014.2,0.0,14,64.11,95.54,-32.5228,-55.7658
Uruguay,,1/13/2020,Clear throughout the day.,clear-day,0.62,0.0,0.0001,0.04,,92.76,64.13,58.25,0.55,1015.3,0.07,14,61.75,92.76,-32.5228,-55.7658
Uruguay,,1/14/2020,Humid and partly cloudy throughout the day.,rain,0.66,0.0012,0.0102,0.32,rain,94.17,76.83,66.49,0.67,1009.9,0.44,10,64.13,94.17,-32.5228,-55.7658
Uruguay,,1/15/2020,Rain until evening.,rain,0.69,0.0838,0.3215,0.93,rain,82.96,58.38,74.36,0.91,1004.8,0.93,6,71.77,82.96,-32.5228,-55.7658
Uruguay,,1/16/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.73,0.0,0.0003,0.07,,76.71,53.24,51.23,0.57,1017.5,0.51,11,58.38,76.71,-32.5228,-55.7658
Uruguay,,1/17/2020,Clear throughout the day.,clear-day,0.77,0.0001,0.0004,0.06,rain,81.11,56.32,49.71,0.53,1021.4,0.04,12,53.24,81.11,-32.5228,-55.7658
Uruguay,,1/18/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.8,0.0,0.0002,0.03,,86.78,65.56,55.76,0.59,1018.1,0.52,8,56.32,86.78,-32.5228,-55.7658
Uruguay,,1/19/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.84,0.0002,0.001,0.09,rain,92.44,70.77,64.73,0.64,1013.7,0.63,10,65.56,92.44,-32.5228,-55.7658
Uruguay,,1/20/2020,"Possible light rain until afternoon, starting again overnight.",rain,0.87,0.0107,0.046,0.8,rain,89.02,71.04,70.34,0.74,1010.7,0.75,7,70.77,89.02,-32.5228,-55.7658
Uruguay,,1/21/2020,Rain until evening.,rain,0.9,0.0477,0.2039,0.93,rain,85.44,69.18,72.59,0.88,1009.2,0.77,8,71.04,85.44,-32.5228,-55.7658
Uruguay,,1/22/2020,Humid and partly cloudy throughout the day.,rain,0.94,0.0021,0.015,0.43,rain,87.3,63.68,68.6,0.77,1012.0,0.5,10,69.18,87.3,-32.5228,-55.7658
Uruguay,,1/23/2020,Clear throughout the day.,clear-day,0.97,0.0,0.0002,0.06,,86.74,62.23,64.59,0.72,1015.0,0.16,12,63.68,86.74,-32.5228,-55.7658
Uruguay,,1/24/2020,Clear throughout the day.,clear-day,0.0,0.0001,0.0002,0.07,rain,86.45,64.32,63.02,0.69,1012.6,0.15,10,62.23,86.45,-32.5228,-55.7658
Uruguay,,1/25/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.03,0.0,0.0002,0.02,,93.07,66.29,63.72,0.59,1007.7,0.46,8,64.32,93.07,-32.5228,-55.7658
Uruguay,,1/26/2020,Humid and partly cloudy throughout the day.,partly-cloudy-day,0.07,0.0001,0.0004,0.07,rain,93.64,66.13,67.4,0.68,1007.0,0.38,13,66.29,93.64,-32.5228,-55.7658
Uruguay,,1/27/2020,Clear throughout the day.,clear-day,0.1,0.0001,0.0004,0.06,rain,85.72,54.82,61.04,0.61,1012.3,0.11,13,66.13,85.72,-32.5228,-55.7658
Uruguay,,1/28/2020,Clear throughout the day.,clear-day,0.13,0.0001,0.0003,0.04,rain,87.66,66.26,57.64,0.64,1012.4,0.01,12,54.82,87.66,-32.5228,-55.7658
