Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Uzbekistan,,12/31/2019,Partly cloudy throughout the day.,partly-cloudy-day,0.2,0.0001,0.0002,0.08,snow,47.72,29.52,28.94,0.75,1020.1,0.43,1,29.7,47.72,41.3775,64.5853
Uzbekistan,,1/1/2020,Clear throughout the day.,clear-day,0.23,0.0001,0.0003,0.11,rain,48.08,29.47,29.63,0.76,1020.7,0.14,1,29.52,48.08,41.3775,64.5853
Uzbekistan,,1/2/2020,Possible light rain overnight.,rain,0.26,0.0007,0.026000000000000002,0.29,rain,46.56,33.9,28.75,0.73,1023.7,0.73,1,29.47,46.56,41.3775,64.5853
Uzbekistan,,1/3/2020,Possible drizzle in the morning.,rain,0.29,0.0034,0.0229,0.63,rain,42.01,22.6,29.12,0.76,1023.1,0.78,1,27.22,42.01,41.3775,64.5853
Uzbekistan,,1/4/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.33,0.0001,0.0004,0.06,snow,40.21,27.82,23.79,0.74,1018.1,0.54,1,23.73,40.21,41.3775,64.5853
Uzbekistan,,1/5/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.36,0.0001,0.0002,0.03,snow,38.02,21.16,22.36,0.71,1022.5,0.82,1,24.65,38.02,41.3775,64.5853
Uzbekistan,,1/6/2020,Clear throughout the day.,partly-cloudy-day,0.39,0.0001,0.0002,0.09,snow,33.66,20.16,17.1,0.67,1029.7,0.46,1,21.16,33.66,41.3775,64.5853
Uzbekistan,,1/7/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.42,0.0,0.0002,0.03,,37.2,23.0,17.57,0.67,1029.4,0.34,1,20.16,37.2,41.3775,64.5853
Uzbekistan,,1/8/2020,Overcast throughout the day.,partly-cloudy-day,0.46,0.0,0.0001,0.02,,38.84,28.97,22.83,0.75,1022.5,0.84,1,23.0,38.84,41.3775,64.5853
Uzbekistan,,1/9/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.49,0.0001,0.0003,0.05,rain,47.63,29.1,23.85,0.61,1016.6,0.58,1,29.8,47.63,41.3775,64.5853
Uzbekistan,,1/10/2020,Overcast throughout the day.,cloudy,0.53,0.0001,0.0004,0.05,snow,43.76,27.0,24.73,0.68,1019.3,0.96,1,29.1,43.76,41.3775,64.5853
Uzbekistan,,1/11/2020,Overcast throughout the day.,cloudy,0.57,0.0001,0.0003,0.05,snow,37.9,24.09,23.54,0.72,1020.1,0.98,1,26.9,37.9,41.3775,64.5853
Uzbekistan,,1/12/2020,Overcast throughout the day.,cloudy,0.61,0.0002,0.0004,0.07,snow,34.9,22.0,20.55,0.73,1024.8,0.88,1,24.09,34.9,41.3775,64.5853
Uzbekistan,,1/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.64,0.0,0.0,0.0,,37.84,25.43,18.39,0.66,1029.0,0.67,1,22.0,37.84,41.3775,64.5853
Uzbekistan,,1/14/2020,Mostly cloudy throughout the day.,snow,0.68,0.0013,0.0036,0.26,snow,39.35,28.59,22.66,0.71,1031.7,0.87,1,25.43,39.35,41.3775,64.5853
Uzbekistan,,1/15/2020,Overcast throughout the day.,cloudy,0.72,0.0007,0.0019,0.21,snow,35.95,20.37,24.04,0.76,1036.2,0.91,1,24.98,35.95,41.3775,64.5853
Uzbekistan,,1/16/2020,Clear throughout the day.,clear-day,0.75,0.0001,0.0004,0.03,snow,39.19,22.73,18.02,0.68,1037.6,0.02,2,20.37,39.19,41.3775,64.5853
Uzbekistan,,1/17/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.79,0.0001,0.0002,0.02,snow,41.93,27.87,17.45,0.61,1027.6,0.37,2,22.73,41.93,41.3775,64.5853
Uzbekistan,,1/18/2020,Overcast throughout the day.,cloudy,0.82,0.0006,0.0054,0.09,snow,42.03,28.65,24.78,0.7,1021.8,0.94,2,27.87,42.03,41.3775,64.5853
Uzbekistan,,1/19/2020,Overcast throughout the day.,cloudy,0.86,0.0009,0.0038,0.1,snow,40.25,26.22,26.53,0.75,1025.1,0.99,1,28.65,40.25,41.3775,64.5853
Uzbekistan,,1/20/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.89,0.0001,0.0003,0.1,snow,37.69,21.88,23.04,0.73,1026.1,0.82,1,26.22,37.69,41.3775,64.5853
Uzbekistan,,1/21/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.93,0.0001,0.001,0.03,snow,33.19,24.06,18.45,0.7,1029.1,0.45,1,21.88,33.19,41.3775,64.5853
Uzbekistan,,1/22/2020,Possible light rain overnight.,clear-day,0.96,0.0003,0.0112,0.09,snow,47.58,38.4,23.52,0.68,1020.4,0.12,2,24.06,47.58,41.3775,64.5853
Uzbekistan,,1/23/2020,Light rain in the morning.,rain,0.99,0.0143,0.0473,0.84,rain,48.61,32.85,36.52,0.81,1012.3,0.72,2,38.48,48.61,41.3775,64.5853
Uzbekistan,,1/24/2020,Possible light snow (< 1 in.) in the morning and afternoon.,snow,0.02,0.0052,0.0159,0.73,snow,34.5,24.59,28.5,0.83,1024.8,0.93,1,25.63,38.81,41.3775,64.5853
Uzbekistan,,1/25/2020,Clear throughout the day.,partly-cloudy-day,0.06,0.0002,0.0005,0.06,snow,36.88,25.47,19.17,0.67,1026.0,0.38,2,24.59,36.88,41.3775,64.5853
Uzbekistan,,1/26/2020,Possible drizzle in the afternoon.,snow,0.09,0.0019,0.0134,0.43,snow,37.82,20.96,22.18,0.72,1024.4,0.65,2,23.85,37.82,41.3775,64.5853
Uzbekistan,,1/27/2020,Clear throughout the day.,clear-day,0.12,0.0,0.0,0.0,,38.94,24.72,16.01,0.61,1030.1,0.0,2,20.96,38.94,41.3775,64.5853
Uzbekistan,,1/28/2020,Clear throughout the day.,clear-day,0.15,0.0002,0.0003,0.05,snow,41.96,25.49,18.88,0.58,1028.1,0.01,2,24.72,41.96,41.3775,64.5853
Uzbekistan,,1/29/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.18,0.0001,0.0003,0.04,snow,46.56,28.9,23.42,0.65,1023.1,0.46,2,25.49,46.56,41.3775,64.5853
Uzbekistan,,1/30/2020,Overcast throughout the day.,partly-cloudy-day,0.21,0.0001,0.0002,0.05,rain,50.42,32.65,25.94,0.63,1017.7,0.77,1,28.9,50.42,41.3775,64.5853
Uzbekistan,,1/31/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.24,0.0001,0.0003,0.04,rain,57.7,38.1,28.14,0.57,1013.7,0.7,2,32.65,57.7,41.3775,64.5853
Uzbekistan,,2/1/2020,Overcast throughout the day.,cloudy,0.27,0.0008,0.0098,0.13,rain,59.87,38.62,28.79,0.49,1010.7,0.99,2,38.1,59.87,41.3775,64.5853
Uzbekistan,,2/2/2020,Light rain until evening.,rain,0.3,0.0106,0.0242,0.91,rain,40.29,34.24,34.89,0.83,1017.8,1.0,2,37.57,43.87,41.3775,64.5853
Uzbekistan,,2/3/2020,Clear throughout the day.,partly-cloudy-day,0.33,0.0003,0.001,0.17,rain,50.13,38.53,32.05,0.72,1017.8,0.37,3,34.24,50.13,41.3775,64.5853
Uzbekistan,,2/4/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.37,0.0002,0.0009,0.05,rain,56.24,28.81,31.94,0.59,1012.8,0.82,2,38.53,56.24,41.3775,64.5853
Uzbekistan,,2/5/2020,Clear throughout the day.,partly-cloudy-day,0.4,0.0001,0.0003,0.02,rain,48.73,36.37,29.51,0.69,1024.2,0.39,2,28.81,48.73,41.3775,64.5853
Uzbekistan,,2/6/2020,Clear throughout the day.,clear-day,0.44,0.0001,0.0003,0.03,rain,62.06,42.89,31.58,0.58,1016.7,0.31,3,36.37,62.06,41.3775,64.5853
Uzbekistan,,2/7/2020,Windy in the morning and afternoon.,wind,0.48,0.0,0.0003,0.01,,68.7,51.0,25.53,0.33,1008.9,0.07,3,42.89,68.7,41.3775,64.5853
Uzbekistan,,2/8/2020,Mostly cloudy throughout the day.,rain,0.51,0.0021,0.0183,0.26,rain,58.79,37.42,34.85,0.53,1006.5,0.64,2,45.03,58.79,41.3775,64.5853
Uzbekistan,,2/9/2020,Possible drizzle in the afternoon.,rain,0.55,0.0022,0.0104,0.53,rain,43.11,25.03,31.88,0.74,1017.3,0.69,2,32.11,44.52,41.3775,64.5853
Uzbekistan,,2/10/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.59,0.0003,0.0012,0.06,snow,39.64,32.48,15.7,0.52,1020.3,0.71,2,25.03,39.64,41.3775,64.5853
Uzbekistan,,2/11/2020,Light rain in the morning and afternoon.,rain,0.63,0.0101,0.047,0.88,rain,36.1,24.19,29.1,0.84,1014.7,0.88,2,29.65,36.1,41.3775,64.5853
Uzbekistan,,2/12/2020,Clear throughout the day.,clear-day,0.67,0.0002,0.0005,0.12,snow,41.76,30.96,23.11,0.69,1027.0,0.28,3,24.19,41.76,41.3775,64.5853
Uzbekistan,,2/13/2020,Overcast throughout the day.,partly-cloudy-day,0.7,0.0001,0.0005,0.07,snow,51.38,38.93,27.05,0.59,1023.1,0.84,2,30.96,51.38,41.3775,64.5853
Uzbekistan,,2/14/2020,Possible flurries (< 1 in.) in the afternoon.,rain,0.74,0.0035,0.0077,0.72,rain,40.65,24.67,30.69,0.75,1025.3,0.99,2,31.69,44.14,41.3775,64.5853
Uzbekistan,,2/15/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.77,0.0001,0.0003,0.09,snow,42.83,28.94,24.3,0.67,1036.6,0.55,2,24.67,42.83,41.3775,64.5853
Uzbekistan,,2/16/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.81,0.0001,0.0003,0.06,rain,42.5,27.09,24.75,0.64,1034.2,0.73,2,28.94,42.5,41.3775,64.5853
Uzbekistan,,2/17/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.84,0.0002,0.0004,0.14,snow,37.1,19.12,19.05,0.64,1037.5,0.5,2,22.76,37.1,41.3775,64.5853
Uzbekistan,,2/18/2020,Clear throughout the day.,clear-day,0.87,0.0001,0.0004,0.03,snow,41.5,25.45,16.26,0.59,1036.9,0.04,3,19.12,41.5,41.3775,64.5853
Uzbekistan,,2/19/2020,Clear throughout the day.,clear-day,0.91,0.0001,0.0004,0.02,rain,52.53,35.3,19.82,0.51,1022.6,0.31,3,25.45,52.53,41.3775,64.5853
Uzbekistan,,2/20/2020,Possible drizzle overnight.,rain,0.94,0.0016,0.008,0.32,rain,52.59,36.29,31.86,0.66,1013.5,0.99,3,35.3,52.59,41.3775,64.5853
Uzbekistan,,2/21/2020,Mostly cloudy throughout the day.,rain,0.97,0.0011,0.0073,0.37,rain,49.2,34.73,35.27,0.77,1024.9,0.66,3,36.29,49.2,41.3775,64.5853
Uzbekistan,,2/22/2020,Overcast throughout the day.,cloudy,0.0,0.0001,0.0003,0.05,rain,52.58,34.93,33.88,0.72,1023.8,0.92,3,34.73,52.58,41.3775,64.5853
Uzbekistan,,2/23/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.03,0.0001,0.0003,0.04,rain,57.38,41.72,34.56,0.65,1020.2,0.75,3,34.93,57.38,41.3775,64.5853
Uzbekistan,,2/24/2020,Clear throughout the day.,partly-cloudy-day,0.06,0.0001,0.0003,0.06,rain,71.63,56.12,39.83,0.58,1013.3,0.52,3,41.72,71.63,41.3775,64.5853
Uzbekistan,,2/25/2020,Light rain until evening.,rain,0.09,0.0237,0.0855,0.9,rain,57.67,32.73,42.22,0.74,1012.0,0.99,3,38.77,60.11,41.3775,64.5853
Uzbekistan,,2/26/2020,Overcast throughout the day.,partly-cloudy-day,0.12,0.0,0.0003,0.03,,45.07,29.0,26.37,0.62,1027.5,0.77,2,32.73,45.07,41.3775,64.5853
Uzbekistan,,2/27/2020,Clear throughout the day.,clear-day,0.15,0.0001,0.0003,0.03,rain,50.38,32.34,23.67,0.56,1025.8,0.0,4,29.0,50.38,41.3775,64.5853
Uzbekistan,,2/28/2020,Clear throughout the day.,partly-cloudy-day,0.18,0.0,0.0003,0.01,,58.22,40.7,33.44,0.67,1017.9,0.35,4,32.34,58.22,41.3775,64.5853
Uzbekistan,,2/29/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.21,0.0001,0.0003,0.03,rain,65.83,44.12,40.68,0.66,1013.7,0.48,4,40.7,65.83,41.3775,64.5853
