Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Venezuela,,12/31/2019,Partly cloudy throughout the day.,partly-cloudy-day,0.19,0.0008,0.0027,0.17,rain,87.02,69.34,67.32,0.74,1011.2,0.47,9,67.85,87.02,6.4238,-66.5897
Venezuela,,1/1/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.22,0.0007,0.0041,0.15,rain,86.24,66.2,67.79,0.76,1011.2,0.65,7,69.34,86.24,6.4238,-66.5897
Venezuela,,1/2/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.25,0.0001,0.0004,0.09,rain,85.42,65.47,64.42,0.72,1012.3,0.63,7,66.2,85.42,6.4238,-66.5897
Venezuela,,1/3/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.28,0.0002,0.001,0.05,rain,85.46,65.8,63.27,0.69,1013.5,0.48,9,65.47,85.46,6.4238,-66.5897
Venezuela,,1/4/2020,Clear throughout the day.,clear-day,0.31,0.0005,0.0019,0.11,rain,85.1,65.5,64.6,0.72,1014.2,0.18,11,65.8,85.1,6.4238,-66.5897
Venezuela,,1/5/2020,Clear throughout the day.,clear-day,0.34,0.0001,0.0003,0.08,rain,86.44,64.86,63.42,0.7,1014.2,0.27,10,65.5,86.44,6.4238,-66.5897
Venezuela,,1/6/2020,Clear throughout the day.,clear-day,0.37,0.0001,0.0002,0.04,rain,86.46,64.33,62.34,0.68,1012.7,0.14,10,64.86,86.46,6.4238,-66.5897
Venezuela,,1/7/2020,Clear throughout the day.,clear-day,0.4,0.0003,0.0017,0.09,rain,86.66,66.22,64.21,0.72,1013.0,0.13,10,64.33,86.66,6.4238,-66.5897
Venezuela,,1/8/2020,Clear throughout the day.,clear-day,0.44,0.0003,0.0018,0.07,rain,86.03,67.9,65.72,0.74,1013.9,0.12,11,66.22,86.03,6.4238,-66.5897
Venezuela,,1/9/2020,Clear throughout the day.,clear-day,0.47,0.0003,0.0012,0.13,rain,85.41,67.07,65.35,0.73,1013.7,0.14,10,67.9,85.41,6.4238,-66.5897
Venezuela,,1/10/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.51,0.0004,0.0017,0.12,rain,84.72,67.68,65.22,0.73,1012.6,0.48,10,67.07,84.72,6.4238,-66.5897
Venezuela,,1/11/2020,Clear throughout the day.,clear-day,0.55,0.0003,0.0011,0.15,rain,86.38,67.07,64.49,0.72,1012.9,0.19,11,67.68,86.38,6.4238,-66.5897
Venezuela,,1/12/2020,Clear throughout the day.,clear-day,0.58,0.0003,0.0014,0.1,rain,86.51,66.42,64.43,0.71,1013.4,0.15,11,67.07,86.51,6.4238,-66.5897
Venezuela,,1/13/2020,Clear throughout the day.,clear-day,0.62,0.0002,0.0005,0.09,rain,86.95,66.67,64.12,0.71,1012.6,0.16,11,66.44,86.95,6.4238,-66.5897
Venezuela,,1/14/2020,Partly cloudy throughout the day.,rain,0.66,0.0033,0.0211,0.37,rain,85.41,66.98,66.51,0.76,1012.1,0.38,9,66.67,85.41,6.4238,-66.5897
Venezuela,,1/15/2020,Possible light rain starting in the afternoon.,rain,0.69,0.0154,0.0645,0.72,rain,85.99,68.35,68.63,0.81,1011.8,0.42,9,66.98,85.99,6.4238,-66.5897
Venezuela,,1/16/2020,Possible light rain in the morning and afternoon.,rain,0.73,0.0064,0.0284,0.74,rain,82.27,67.96,69.38,0.84,1013.4,0.55,8,68.35,82.27,6.4238,-66.5897
Venezuela,,1/17/2020,Partly cloudy throughout the day.,rain,0.77,0.0038,0.0177,0.42,rain,88.11,67.91,68.88,0.78,1013.9,0.45,10,67.96,88.11,6.4238,-66.5897
Venezuela,,1/18/2020,Humid throughout the day.,rain,0.8,0.0024,0.0121,0.46,rain,87.13,68.43,69.45,0.81,1013.5,0.29,10,67.91,87.13,6.4238,-66.5897
