Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Vietnam,,12/31/2019,Light rain throughout the day.,rain,0.2,0.0277,0.055,0.97,rain,64.79,58.1,60.59,1.0,1020.4,0.89,5,58.9,64.79,16.0,108.0
Vietnam,,1/1/2020,Possible light rain throughout the day.,rain,0.23,0.0206,0.0362,0.83,rain,63.73,58.02,60.71,1.0,1020.4,0.87,6,58.1,63.73,16.0,108.0
Vietnam,,1/2/2020,Possible light rain in the morning.,rain,0.26,0.0126,0.0371,0.7,rain,67.57,55.96,60.51,1.0,1019.3,0.96,5,55.96,67.57,16.0,108.0
Vietnam,,1/3/2020,Overcast throughout the day.,rain,0.29,0.0044,0.0138,0.42,rain,66.99,55.22,59.16,1.0,1017.4,0.98,5,55.23,66.99,16.0,108.0
Vietnam,,1/4/2020,Partly cloudy throughout the day.,rain,0.32,0.0037,0.013999999999999999,0.37,rain,66.97,52.77,58.87,0.99,1016.7,0.67,8,54.02,66.97,16.0,108.0
Vietnam,,1/5/2020,Clear throughout the day.,partly-cloudy-day,0.35,0.0001,0.0007,0.08,rain,71.86,56.18,59.03,0.95,1015.8,0.34,8,52.77,71.86,16.0,108.0
Vietnam,,1/6/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.39,0.0005,0.0053,0.19,rain,71.95,58.14,61.37,0.97,1015.4,0.64,7,56.64,71.95,16.0,108.0
Vietnam,,1/7/2020,Overcast throughout the day.,rain,0.42,0.0055,0.013999999999999999,0.49,rain,70.03,56.43,61.89,1.0,1016.3,0.91,5,58.03,70.03,16.0,108.0
Vietnam,,1/8/2020,Mostly cloudy throughout the day.,rain,0.46,0.0015,0.005,0.34,rain,69.05,55.11,60.79,1.0,1015.1,0.74,6,56.43,69.05,16.0,108.0
Vietnam,,1/9/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.49,0.0003,0.0011,0.13,rain,70.12,56.02,59.81,0.97,1013.2,0.68,6,55.11,70.12,16.0,108.0
Vietnam,,1/10/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.53,0.0008,0.0034,0.19,rain,70.01,53.97,60.14,0.97,1012.9,0.81,6,56.02,70.01,16.0,108.0
Vietnam,,1/11/2020,Mostly cloudy throughout the day.,rain,0.57,0.0019,0.0066,0.31,rain,69.07,54.47,59.26,0.96,1013.7,0.72,6,53.97,69.07,16.0,108.0
Vietnam,,1/12/2020,Possible light rain in the morning.,rain,0.6,0.0057,0.0166,0.54,rain,68.39,52.37,59.22,0.99,1014.4,0.62,6,54.47,68.39,16.0,108.0
Vietnam,,1/13/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.64,0.0002,0.001,0.11,rain,70.52,51.97,56.66,0.91,1015.2,0.56,7,52.37,70.52,16.0,108.0
Vietnam,,1/14/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.68,0.0001,0.001,0.11,rain,70.61,53.34,56.64,0.9,1014.7,0.37,8,51.97,70.61,16.0,108.0
Vietnam,,1/15/2020,Clear throughout the day.,partly-cloudy-day,0.71,0.0001,0.0007,0.1,rain,73.87,57.28,59.38,0.92,1014.6,0.39,9,53.34,73.87,16.0,108.0
Vietnam,,1/16/2020,Mostly cloudy throughout the day.,rain,0.75,0.0014,0.0052,0.27,rain,71.53,54.09,59.33,0.94,1016.5,0.64,6,54.84,71.53,16.0,108.0
Vietnam,,1/17/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.79,0.0002,0.0016,0.07,rain,71.34,53.92,57.61,0.92,1016.3,0.67,8,54.09,71.34,16.0,108.0
Vietnam,,1/18/2020,Possible drizzle in the afternoon.,rain,0.82,0.0014,0.0119,0.4,rain,62.24,52.35,57.82,1.0,1017.3,0.69,6,53.92,62.24,16.0,108.0
Vietnam,,1/19/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.86,0.0013,0.0063,0.2,rain,66.67,53.83,56.27,0.94,1018.6,0.68,7,52.35,66.67,16.0,108.0
Vietnam,,1/20/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.89,0.0002,0.0006,0.08,rain,70.04,54.76,58.07,0.93,1018.4,0.64,6,53.83,70.04,16.0,108.0
Vietnam,,1/21/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.92,0.0,0.0001,0.03,,74.44,54.74,59.18,0.92,1016.3,0.66,8,54.76,74.44,16.0,108.0
Vietnam,,1/22/2020,Partly cloudy throughout the day.,partly-cloudy-day,0.96,0.0001,0.0005,0.1,rain,75.76,59.07,60.64,0.92,1014.2,0.61,8,54.74,75.76,16.0,108.0
Vietnam,,1/23/2020,Mostly cloudy throughout the day.,partly-cloudy-day,0.99,0.0001,0.0006,0.14,rain,75.96,58.31,61.61,0.9,1013.8,0.85,7,59.07,75.96,16.0,108.0
Vietnam,,1/24/2020,Mostly cloudy throughout the day.,cloudy,0.02,0.0002,0.0007,0.17,rain,75.9,57.97,61.67,0.91,1011.9,0.89,6,58.31,75.9,16.0,108.0
Vietnam,,1/25/2020,Possible drizzle in the morning and afternoon.,rain,0.05,0.0035,0.0065,0.61,rain,65.56,53.59,59.54,0.99,1013.0,1.0,5,55.82,65.56,16.0,108.0
Vietnam,,1/26/2020,Foggy in the evening and overnight.,rain,0.08,0.0023,0.0089,0.68,rain,66.03,54.26,57.2,0.97,1013.1,0.98,6,53.59,66.03,16.0,108.0
Vietnam,,1/27/2020,Light rain throughout the day.,rain,0.11,0.0043,0.0157,0.87,rain,61.35,53.49,56.75,1.0,1014.3,0.97,5,54.26,61.35,16.0,108.0
