Country/Region,Province/State,time,summary,icon,moonPhase,precipIntensity,precipIntensityMax,precipProbability,precipType,temperatureHigh,temperatureLow,dewPoint,humidity,pressure,cloudCover,uvIndex,temperatureMin,temperatureMax,Lat,Long
Zambia,,12/31/2019,Possible light rain in the morning and afternoon.,rain,0.21,0.0116,0.0353,0.78,rain,81.38,65.88,66.45,0.82,1009.1,0.9,6,65.16,81.38,-15.4167,28.2833
Zambia,,1/1/2020,Possible light rain overnight.,rain,0.24,0.01,0.0308,0.57,rain,83.53,65.24,65.23,0.75,1009.2,0.98,6,66.1,83.53,-15.4167,28.2833
Zambia,,1/2/2020,Possible light rain in the morning and afternoon.,rain,0.27,0.0166,0.0462,0.73,rain,79.53,64.17,67.11,0.88,1010.6,0.92,8,65.24,79.53,-15.4167,28.2833
Zambia,,1/3/2020,Overcast throughout the day.,rain,0.3,0.0151,0.0442,0.62,rain,82.44,64.99,65.79,0.8,1010.4,0.93,9,64.17,82.44,-15.4167,28.2833
Zambia,,1/4/2020,Possible light rain until evening.,rain,0.33,0.0116,0.0304,0.7,rain,79.94,64.45,66.33,0.86,1010.0,0.99,6,64.99,79.94,-15.4167,28.2833
Zambia,,1/5/2020,Possible light rain in the afternoon.,rain,0.36,0.015,0.0489,0.7,rain,80.74,64.37,65.85,0.84,1009.0,0.96,7,64.45,80.74,-15.4167,28.2833
Zambia,,1/6/2020,Light rain in the morning and afternoon.,rain,0.39,0.0132,0.0437,0.77,rain,78.54,65.03,65.58,0.87,1010.9,0.97,7,64.37,78.54,-15.4167,28.2833
Zambia,,1/7/2020,Rain starting in the afternoon.,rain,0.43,0.0301,0.1414,0.65,rain,82.47,64.36,64.92,0.8,1011.3,0.96,7,65.03,82.47,-15.4167,28.2833
Zambia,,1/8/2020,Possible light rain in the morning and afternoon.,rain,0.46,0.0132,0.0627,0.76,rain,76.56,63.18,67.93,0.94,1011.0,0.93,7,64.36,76.56,-15.4167,28.2833
Zambia,,1/9/2020,Rain in the afternoon and evening.,rain,0.5,0.0303,0.1765,0.79,rain,79.15,63.16,67.97,0.93,1009.2,0.99,6,63.18,79.15,-15.4167,28.2833
